,TI,AB,DI,PY,tcmRelated,gcgRelated,ngrRelated,nwRelated,reviewer,2ndReviewer,agree,include
10,Reducing Overconfidence in the Interval Judgments of Experts,"Elicitation of expert opinion is important for risk analysis when only limited data are available. Expert opinion is often elicited in the form of subjective confidence intervals; however, these are prone to substantial overconfidence. We investigated the influence of elicitation question format, in particular the number of steps in the elicitation procedure. In a 3-point elicitation procedure, an expert is asked for a lower limit, upper limit, and best guess, the two limits creating an interval of some assigned confidence level (e.g., 80%). In our 4-step interval elicitation procedure, experts were also asked for a realistic lower limit, upper limit, and best guess, but no confidence level was assigned; the fourth step was to rate their anticipated confidence in the interval produced. In our three studies, experts made interval predictions of rates of infectious diseases (Study 1, n = 21 and Study 2, n = 24: epidemiologists and public health experts), or marine invertebrate populations (Study 3, n = 34: ecologists and biologists). We combined the results from our studies using meta-analysis, which found average overconfidence of 11.9%, 95% CI [3.5, 20.3] (a hit rate of 68.1% for 80% intervals)-a substantial decrease in overconfidence compared with previous studies. Studies 2 and 3 suggest that the 4-step procedure is more likely to reduce overconfidence than the 3-point procedure (Cohen's d = 0.61, [0.04, 1.18]).",10.1111/j.1539-6924.2009.01337.x,2010,0,1.0,0.0,0.0,gcg,1.0,0,0
11,Automatic detection of learner's affect from conversational cues,"We explored the reliability of detecting a learner's affect from conversational features extracted from interactions with AutoTutor, an intelligent tutoring system (ITS) that helps students learn by holding a conversation in natural language. Training data were collected in a learning session with AutoTutor, after which the affective states of the learner were rated by the learner, a peer, and two trained judges. Inter-rater reliability scores indicated that the classifications of the trained judges were more reliable than the novice judges. Seven data sets that temporally integrated the affective judgments with the dialogue features of each learner were constructed. The first four datasets corresponded to the judgments of the learner, a peer, and two trained judges, while the remaining three data sets combined judgments of two or more raters. Multiple regression analyses confirmed the hypothesis that dialogue features could significantly predict the affective states of boredom, confusion, flow, and frustration. Machine learning experiments indicated that standard classifiers were moderately successful in discriminating the affective states of boredom, confusion, flow, frustration, and neutral, yielding a peak accuracy of 42% with neutral (chance = 20%) and 54% without neutral (chance = 25%). Individual detections of boredom, confusion, flow, and frustration, when contrasted with neutral affect, had maximum accuracies of 69, 68, 71, and 78%, respectively (chance = 50%). The classifiers that operated on the emotion judgments of the trained judges and combined models outperformed those based on judgments of the novices (i.e., the self and peer). Follow-up classification analyses that assessed the degree to which machine-generated affect labels correlated with affect judgments provided by humans revealed that human-machine agreement was on par with novice judges (self and peer) but quantitatively lower than trained judges. We discuss the prospects of extending AutoTutor into an affect-sensing ITS.",10.1007/s11257-007-9037-6,2008,0,0.0,0.0,0.0,ngr,0.0,1,0
12,Soft computing system for bank performance prediction,"This paper presents a soft computing based bank performance prediction system. It is an ensemble system whose constituent models are a multilayered feed forward neural network trained with backpropagation (MLFF-BP), a probabilistic neural network (PNN) and a radial basis function neural network (RBFN), support vector machine (SVM), classification and regression trees (CART) and a fuzzy rule based classifier. Further, principal component analysis (PCA) based hybrid neural networks, viz. PCA-MLFF-BP, PCA-PNN and PCA-RBF are also included as constituents of the ensemble. Moreover, GRNN and PNN were trained with a genetic algorithm to optimize the smoothing factors. Two ensembles (i) simple majority voting based and (ii) weightage based are implemented. This system predicts the performance of a bank in the coming financial year based on its previous 2-years' financial data. Ten-fold cross-validation is performed in the training sessions and results are validated with an independent production set. It is demonstrated that the ensemble is able to yield lower Type I and Type II errors compared to its constituent models. Further, the ensemble also outperformed an earlier study [P. G. Swicegood, Predicting poor bank profitability: a comparison of neural network, discriminant analysis and professional human judgement, Ph.D. Thesis, Department of Finance, Florida State University, 1998] that used multivariate discriminant analysis (MDA), MLFF-BP and human judgment. (C) 2007 Elsevier B. V. All rights reserved.",10.1016/j.asoc.2007.02.001,2008,0,0.0,0.0,0.0,nw,0.0,1,0
13,Toward a ground-motion logic tree for probabilistic seismic hazard assessment in Europe,"The Seismic Hazard Harmonization in Europe (SHARE) project, which began in June 2009, aims at establishing new standards for probabilistic seismic hazard assessment in the Euro-Mediterranean region. In this context, a logic tree for ground-motion prediction in Europe has been constructed. Ground-motion prediction equations (GMPEs) and weights have been determined so that the logic tree captures epistemic uncertainty in ground-motion prediction for six different tectonic regimes in Europe. Here we present the strategy that we adopted to build such a logic tree. This strategy has the particularity of combining two complementary and independent approaches: expert judgment and data testing. A set of six experts was asked to weight pre-selected GMPEs while the ability of these GMPEs to predict available data was evaluated with the method of Scherbaum et al. (Bull Seismol Soc Am 99:3234-3247, 2009). Results of both approaches were taken into account to commonly select the smallest set of GMPEs to capture the uncertainty in ground-motion prediction in Europe. For stable continental regions, two models, both from eastern North America, have been selected for shields, and three GMPEs from active shallow crustal regions have been added for continental crust. For subduction zones, four models, all non-European, have been chosen. Finally, for active shallow crustal regions, we selected four models, each of them from a different host region but only two of them were kept for long periods. In most cases, a common agreement has been also reached for the weights. In case of divergence, a sensitivity analysis of the weights on the seismic hazard has been conducted, showing that once the GMPEs have been selected, the associated set of weights has a smaller influence on the hazard.",10.1007/s10950-012-9281-z,2012,0,0.0,0.0,1.0,nw,1.0,0,0
14,Hailfinder: A Bayesian system for forecasting severe weather,"Hailfinder is a Bayesian system that combines meteorological data and models with expert judgment, based on both experience and physical understanding, to forecast severe weather in Northeastern Colorado. The system is based on a model, known as a belief network (BN), that has recently emerged as the basis of some powerful intelligent systems. Hailfinder is the first such system to apply these Bayesian models in the realm of meteorology, a field that has served as the basis of many past investigations of probabilistic forecasting. The design of Hailfinder provides a variety of insights to designers of other BN-based systems, regardless of their fields of application.",10.1016/0169-2070(95)00664-8,1996,1,0.0,0.0,1.0,nw,1.0,1,1
15,Analyzing the Climate Sensitivity of the HadSM3 Climate Model Using Ensembles from Different but Related Experiments,"Global climate models (GCMs) contain imprecisely defined parameters that account, approximately, for subgrid-scale physical processes. The response of a GCM to perturbations in its parameters, which is crucial for quantifying uncertainties in simulations of climate change, can-in principle-be assessed by simulating the GCM many times. In practice, however, such ""perturbed physics'' ensembles are small because GCMs are so expensive to simulate. Statistical tools can help in two ways. First, they can be used to combine ensembles from different but related experiments, increasing the effective number of simulations. Second, they can be used to describe the GCM's response in ways that cannot be extracted directly from the ensemble(s). The authors combine two experiments to learn about the response of the Hadley Centre Slab Climate Model version 3 (HadSM3) climate sensitivity to 31 model parameters. A Bayesian statistical framework is used in which expert judgments are required to quantify the relationship between the two experiments; these judgments are validated by detailed diagnostics. The authors identify the entrainment rate coefficient of the convection scheme as the most important single parameter and find that this interacts strongly with three of the large-scale-cloud parameters.",10.1175/2008JCLI2533.1,2009,0,0.0,0.0,0.0,ngr,0.0,1,0
16,A universal model of esthetic perception based on the sensory coding of natural stimuli,"Philosophers have pointed out that there is a close relation between the esthetics of art and the beauty of natural scenes. Supporting this similarity at the experimental level, we have recently shown that visual art and natural scenes share fractal-like, scale-invariant statistical properties. Moreover, evidence from neurophysiological experiments shows that the visual system uses an efficient (sparse) code to process optimally the statistical properties of natural stimuli. In the present work, a hypothetical model of esthetic perception is described that combines both lines of evidence. Specifically, it is proposed that an artist creates a work of art so that it induces a specific resonant state in the visual system. This resonant state is thought to be based on the adaptation of the visual system to natural scenes. The proposed model is universal and predicts that all human beings share the same general concept of esthetic judgment. The model implies that esthetic perception, like the coding of natural stimuli, depends on stimulus form rather than content, depends on higher-order statistics of the stimuli, and is non-intuitive to cognitive introspection. The model accommodates the central tenet of neuroesthetic theory that esthetic perception reflects fundamental functional properties of the nervous system.",10.1163/156856808782713780,2008,0,0.0,0.0,0.0,ngr,0.0,1,0
17,A Bayesian Network Modeling Approach to Forecasting the 21st Century Worldwide Status of Polar Bears,"To inform the U.S. Fish and Wildlife Service decision, whether or not to list polar bears as threatened under the Endangered Species Act (ESA), we projected the status of the world's polar bears (Ursus maritimus) for decades centered on future years 2025, 2050, 2075, and 2095. We defined four ecoregions based on current and projected sea ice conditions: seasonal ice, Canadian Archipelago, polar basin divergent, and polar basin convergent ecoregions. We incorporated general circulation model projections of future sea ice into a Bayesian network (BN) model structured around the factors considered in ESA decisions. This first-generation BN model combined empirical data, interpretations of data, and professional judgments of one polar bear expert into a probabilistic framework that identifies causal links between environmental stressors and polar bear responses. We provide guidance regarding steps necessary to refine the model, including adding inputs from other experts. The BN model projected extirpation of polar bears from the seasonal ice and polar basin divergent ecoregions, where approximate to 2/3 of the world's polar bears currently occur, by mid century. Projections were less dire in other ecoregions. Decline in ice habitat was the overriding factor driving the model outcomes. Although this is a first-generation model, the dependence of polar bears on sea ice is universally accepted, and the observed sea ice decline is faster than models suggest. Therefore, incorporating judgments of multiple experts in a final model is not expected to fundamentally alter the outlook for polar bears described here.",10.1029/180GM14,2008,0,0.0,0.0,1.0,nw,1.0,0,0
18,A Stability Bias in Human Memory: Overestimating Remembering and Underestimating Learning,"The dynamics of human memory are complex and often unintuitive, but certain features-such as the fact that studying results in learning-seem like common knowledge. In 12 experiments, however, participants who were told they would be allowed to study a list of word pairs between I and 4 times and then take a cued-recall test predicted little or no learning across trials, notwithstanding their large increases in actual learning. When queried directly, the participants espoused the belief that studying results in learning, but they showed little evidence of that belief in the actual task. These findings, when combined with A. Koriat, R. A. Bjork, L. Sheffer, and S. K. Bar's (2004) research on judgments of forgetting, suggest a stability bias in human memory-that is, a tendency to assume that the accessibility of one's memories will remain relatively stable over time rather than benefiting from future learning or suffering from future forgetting.",10.1037/a0017350,2009,0,0.0,0.0,0.0,nw,0.0,1,0
19,The statistical structure of human speech sounds predicts musical universals,"The similarity of musical scales and consonance judgments across human populations has no generally accepted explanation. Here we present evidence that these aspects of auditory perception arise from the statistical structure of naturally occurring periodic sound stimuli. An analysis of speech sounds, the principal source of periodic sound stimuli in the human acoustical environment, shows that the probability distribution of amplitude-frequency combinations in human utterances predicts both the structure of the chromatic scale and consonance ordering. These observations suggest that what we hear is determined by the statistical relationship between acoustical stimuli and their naturally occurring sources, rather than by the physical parameters of the stimulus per se.",10.1523/JNEUROSCI.23-18-07160.2003,2003,0,0.0,0.0,0.0,ngr,0.0,1,0
20,USE OF PROBABILISTIC EXPERT JUDGMENT IN UNCERTAINTY ANALYSIS OF CARCINOGENIC POTENCY,"A new approach to characterizing the state of knowledge about carcinogenic potency is described. In this approach, the carcinogenic risk posed by a specific dose is characterized by a probability distribution, indicating the relative likelihood of different risk estimates. The approach utilizes expert judgment and a probability tree and is illustrated in a case study of chloroform exposure. Experts in cancer biology/toxicology, pharmacokinetics, and dose-response modeling were identified by a panel of science-policy specialists. In a workshop, experts reviewed the chloroform data, received training in probability elicitation, and constructed a consensual probability tree based on biological theories of cancer causation. Distributions of carcinogenic risk were developed based on the probability tree, chloroform data, judgmental probabilities provided by the experts, and classical statistical techniques. Risk distributions varied considerably between experts, with some predicting essentially no risk from 100 ppb chloroform in drinking water while others have at least some probability on risks generally considered of regulatory significance. Estimated human risk was much lower when extrapolating from liver tumors in animals than from kidney tumors. Issues of scientific disagreement leading to different risk distributions between experts are discussed. The resulting risk distributions are compared to standard EPA risk calculations for the same exposure scenario as well as to the expert judgments of epidemiologists about cancer risks of chlorinated drinking water. Issues in combining expert judgments are discussed, and several alternative methods are presented. Strengths and weaknesses of the distributional approach are discussed. (C) 1994 Academic Press, Inc.",10.1006/rtph.1994.1034,1994,1,0.0,1.0,0.0,ngr,1.0,1,1
21,The limits of forecasting methods in anticipating rare events,"In this paper we review methods that aim to aid the anticipation of rare, high-impact, events. We evaluate these methods according to their ability to yield well-calibrated probabilities or point forecasts for such events. We first identify six factors that can lead to poor calibration and then examine how successful the methods are in mitigating these factors. We demonstrate that all the extant forecasting methods including the use of expert judgment, statistical forecasting. Delphi and prediction markets contain fundamental weaknesses. We contrast these methods with a non-forecasting method that is intended to aid planning for the future scenario planning. We conclude that all the methods are problematic for aiding the anticipation of rare events and that the only remedies are to either (i) to provide protection for the organization against the occurrence of negatively-valenced events whilst allowing the organization to benefit from the occurrence of positively-valenced events, or (ii) to provide conditions to challenge one's own thinking and hence improve anticipation. We outline how components of devil's advocacy and dialectical inquiry can be combined with Delphi and scenario planning to enhance anticipation of rare events. (C) 2009 Elsevier Inc. All rights reserved.",10.1016/j.techfore.2009.10.008,2010,0,0.0,0.0,1.0,nw,1.0,0,0
22,2015 Guidelines of the Taiwan Society of Cardiology and the Taiwan Hypertension Society for the Management of Hypertension,"It has been almost 5 years since the publication of the 2010 hypertension guidelines of the Taiwan Society of Cardiology (TSOC). There is new evidence regarding the management of hypertension, including randomized controlled trials, non-randomized trials, post-hoc analyses, subgroup analyses, retrospective studies, cohort studies, and registries. More recently, the European Society of Hypertension (ESH) and the European Society of Cardiology (ESC) published joint hypertension guidelines in 2013. The panel members who were appointed to the Eighth Joint National Committee (JNC) also published the 2014 JNC report. Blood pressure (BP) targets have been changed; in particular, such targets have been loosened in high risk patients. The Executive Board members of TSOC and the Taiwan Hypertension Society (THS) aimed to review updated information about the management of hypertension to publish an updated hypertension guideline in Taiwan. We recognized that hypertension is the most important risk factor for global disease burden. Management of hypertension is especially important in Asia where the prevalence rate grows faster than other parts of the world. In most countries in East Asia, stroke surpassed coronary heart disease (CHD) in causing premature death. A diagnostic algorithm was proposed, emphasizing the importance of home BP monitoring and ambulatory BP monitoring for better detection of night time hypertension, early morning hypertension, white-coat hypertension, and masked hypertension. We disagreed with the ESH/ESH joint hypertension guidelines suggestion to loosen BP targets to <140/90 mmHg for all patients. We strongly disagree with the suggestion by the 2014 JNC report to raise the BP target to <150/90 mmHg for patients between 60-80 years of age. For patients with diabetes, CHD, chronic kidney disease who have proteinuria, and those who are receiving antithrombotic therapy for stroke prevention, we propose BP targets of <130/80 mmHg in our guidelines. BP targets are <140/90 mmHg for all other patient groups, except for patients >= 80 years of age in whom a BP target of <150/90 mmHg would be optimal. For the management of hypertension, we proposed a treatment algorithm, starting with life style modification (LSM) including S-ABCDE (Sodium restriction, Alcohol limitation, Body weight reduction, Cigarette smoke cessation, Diet adaptation, and Exercise adoption). We emphasized a low-salt strategy instead of a no-salt strategy, and that excessively aggressive sodium restriction to <2.0 gram/day may be harmful. When drug therapy is considered, a strategy called ""PROCEED"" was suggested (Previous experience, Risk factors, Organ damage, Contraindications or unfavorable conditions, Expert's or doctor's judgment, Expenses or cost, and Delivery and compliance issue). To predict drug effects in lowering BP, we proposed the ""Rule of 10"" and ""Rule of 5"". With a standard dose of any one of the 5 major classes of anti-hypertensive agents, one can anticipate approximately a 10-mmHg decrease in systolic BP (SBP) (Rule of 10) and a 5-mmHg decrease in diastolic BP (DBP) (Rule of 5). When doses of the same drug are doubled, there is only a 2-mmHg incremental decrease in SBP and a 1-mmHg incremental decrease in DBP. Preferably, when 2 drugs with different mechanisms are to be taken together, the decrease in BP is the sum of the decrease of the individual agents (approximately 20 mmHg in SBP and 10 mmHg in DBP). Early combination therapy, especially single-pill combination (SPC), is recommended. When patient's initial treatment cannot get BP to targeted goals, we have proposed an adjustment algorithm, ""AT GOALs"" (Adherence, Timing of administration, Greater doses, Other classes of drugs, Alternative combination or SPC, and LSM + Laboratory tests). Treatment of hypertension in special conditions, including treatment of resistant hypertension, hypertension in women, and perioperative management of hypertension, were also mentioned. The TSOC/THS hypertension guidelines provide the most updated information available in the management of hypertension. The guidelines are not mandatory, and members of the task force fully realize that treatment of hypertension should be individualized to address each patient's circumstances. Ultimately, the decision of the physician decision remains of the utmost importance in hypertension management. Copyright (C) 2014 Elsevier Taiwan LLC and the Chinese Medical Association. All rights reserved.",10.1016/j.jcma.2014.11.005,2015,0,0.0,0.0,0.0,ngr,0.0,1,0
23,"A map of human impacts to a ""pristine"" coral reef ecosystem, the PapahAnaumokuAkea Marine National Monument","Effective and comprehensive regional-scale marine conservation requires fine-grained data on the spatial patterns of threats and their overlap. To address this need for the PapahAnaumokuAkea Marine National Monument (Monument) in Hawaii, USA, spatial data on 14 recent anthropogenic threats specific to this region were gathered or created, including alien species, bottom fishing, lobster trap fishing, ship-based pollution, ship strike risks, marine debris, research diving, research equipment installation, research wildlife sacrifice, and several anthropogenic climate change threats i.e., increase in ultraviolet (UV) radiation, seawater acidification, the number of warm ocean temperature anomalies relevant to disease outbreaks and coral bleaching, and sea level rise. These data were combined with habitat maps and expert judgment on the vulnerability of different habitat types in the Monument to estimate spatial patterns of current cumulative impact at 1 ha (0.01 km(2)) resolution. Cumulative impact was greatest for shallow reef areas and peaked at Maro Reef, where 13 of the 14 threats overlapped in places. Ocean temperature variation associated with disease outbreaks was found to have the highest predicted impact overall, followed closely by other climate-related threats, none of which have easily tractable management solutions at the regional scale. High impact threats most tractable to regional management relate to ship traffic. Sensitivity analyses show that the results are robust to both data availability and quality. Managers can use these maps to (1) inform management and surveillance priorities based on the ranking of threats and their distributions, (2) guide permitting decisions based on cumulative impacts, and (3) choose areas to monitor for climate change effects. Furthermore, this regional analysis can serve as a case study for managers elsewhere interested in assessing and mapping region-specific cumulative human impacts.",10.1007/s00338-009-0490-z,2009,0,0.0,0.0,0.0,ngr,0.0,1,0
24,Probabilistic risk analysis in subsurface hydrology,"We present a general framework for probabilistic risk assessment (PRA) of subsurface contamination. PRA provides a natural venue for the rigorous quantification of structural (model) and parametric uncertainties inherent in predictions of subsurface flow and transport. A typical PRA starts by identifying relevant components of a subsurface system (e.g., a buried solid-waste tank, an aquitard, a remediation effort) and proceeds by using uncertainty quantification techniques to estimate the probabilities of their failure. These probabilities are then combined by means of fault-tree analyses to yield probabilistic estimates of the risk of system failure (e.g., aquifer contamination). Since PRA relies on subjective probabilities, it is ideally suited for assimilation of expert judgment and causal relationships.",10.1029/2007GL029245,2007,1,0.0,0.0,1.0,nw,1.0,1,1
