	TI	AB	DI	PY
17	A hybrid econometric-AI ensemble learning model for Chinese foreign trade prediction	"Due to the complexity of economic system, the interactive effects of economic variables or factors on Chinese foreign trade make the prediction of China's foreign trade extremely difficult. To analyze the relationship between economic variables and foreign trade, this study proposes a novel nonlinear ensemble learning methodology hybridizing nonlinear econometric model and artificial neural networks (ANN) for Chinese foreign trade prediction. In this proposed learning approach, an important econometrical model, the co-integration-based error correction vector auto-regression (EC-VAR) model is first used to capture the impacts of the economic variables on Chinese foreign trade from a multivariate analysis perspective. Then an ANN-based EC-VAR model is used to capture the nonlinear patterns hidden between foreign trade and economic factors. Subsequently, for introducing the effects of irregular events on foreign trade, the text mining and expert's judgmental adjustments are also incorporated into the nonlinear ANN-based EC-VAR model. Finally, all economic variables, the outputs of linear and nonlinear EC-VAR models and judgmental adjustment model are used as another neural network inputs for ensemble prediction purpose. For illustration, the proposed ensemble learning methodology integrating econometric techniques and artificial intelligence (AI) methods is applied to Chinese export trade prediction problem."	0	2007,N,N,N
20	Bayesian network models for making maintenance decisions from data and expert judgment	"To maximize asset reliability cost-effectively, maintenance should be scheduled based on the likely deterioration of an asset. A number of types of statistical model have been proposed for predicting this but they have important practical limitations. We present a Bayesian network model that can be used for maintenance decision support to overcome these limitations. The model extends an existing statistical model of asset deterioration, but shows how i) failure data from related groups of asset can be combined, ii) data on the condition of assets available from their periodic inspection can be used iii) expert knowledge of the causes deterioration can be combined with statistical data to adjust predictions and iv) the uncertain effects of maintenance actions can be modelled. We show how the model could be used for a range of decision problems, given typical data likely to be available in practice."	0	2017,N,Y,Y
0	A review of studies on expert estimation of software development effort	"This paper provides an extensive review of studies related to expert estimation of software development effort. The main goal and contribution of the review is to support the research on expert estimation, e.g., to ease other researcher's search for relevant expert estimation studies. In addition, we provide software practitioners with useful estimation guidelines, based on the research-based knowledge of expert estimation processes. The review results suggest that expert estimation is the most frequently applied estimation strategy for software projects, that there is no substantial evidence in favour of use of estimation models, and that there are situations where we can expect expert estimates to be more accurate than formal estimation models. The following 12 expert estimation ""best practice"" guidelines are evaluated through the review: (1) evaluate estimation accuracy, but avoid high evaluation pressure; (2) avoid conflicting estimation goals; (3) ask the estimators to justify and criticize their estimates; (4) avoid irrelevant and unreliable estimation information; (5) use documented data from previous development tasks; (6) find estimation experts with relevant domain background and good estimation records; (7) Estimate top-down and bottom-up, independently of each other; (8) use estimation checklists; (9) combine estimates from different experts and estimation strategies; (10) assess the uncertainty of the estimate; (11) provide feedback on estimation accuracy and development task relations; and, (12) provide estimation training opportunities. We found supporting evidence for all 12 estimation principles, and provide suggestions on how to implement them in software organizations. (C) 2002 Elsevier Inc. All rights reserved."	10.1016/S0164-1212(02)00156-5	2004,N,Y,N
5	Computational intelligence for heart disease diagnosis: A medical knowledge driven approach	"This paper investigates a number of computational intelligence techniques in the detection of heart disease. Particularly, comparison of six well known classifiers for the well used Cleveland data is performed. Further, this paper highlights the potential of an expert judgment based (i.e., medical knowledge driven) feature selection process (termed as MFS), and compare against the generally employed computational intelligence based feature selection mechanism. Also, this article recognizes that the publicly available Cleveland data becomes imbalanced when considering binary classification. Performance of classifiers. and also the potential of MFS are investigated considering this imbalanced data issue. The experimental results demonstrate that the use of MFS noticeably improved the performance, especially in terms of accuracy, for most of the classifiers considered and for majority of the datasets (generated by converting the Cleveland dataset for binary classification). MFS combined with the computerized feature selection process (CFS) has also been investigated and showed encouraging results particularly for NaiveBayes, IBK and SMO. In summary, the medical knowledge based feature selection method has shown promise for use in heart disease diagnostics. (C) 2012 Elsevier Ltd. All rights reserved."	10.1016/j.eswa.2012.07.032	2013,N,Y,Y
8	Calibration and evaluation of five indicators of benthic community condition in two California bay and estuary habitats	"Many types of indices have been developed to assess benthic invertebrate community condition, but there have been few studies evaluating the relative performance of different index approaches. Here we calibrate and compare the performance of five indices: the Benthic Response Index (BRI), Benthic Quality Index (BQI), Relative Benthic Index (RBI), River Invertebrate Prediction and Classification System (RIVPACS), and the Index of Biotic Integrity (1131). We also examine whether index performance improves when the different indices, which rely on measurement of different properties, are used in combination. The five indices were calibrated for two geographies using 238 samples from southern California marine bays and 125 samples from polyhaline San Francisco Bay. Index performance was evaluated by comparing index assessments of 35 sites to the best professional judgment of nine benthic experts. None of the individual indices performed as well as the average expert in ranking sample condition or evaluating whether benthic assemblages exhibited evidence of disturbance. However, several index combinations outperformed the average expert. When results from both habitats were combined, two four-index combinations and a three-index combination performed best. However, performance differences among several combinations were small enough that factors such as logistics can also become a consideration in index selection. (C) 2008 Elsevier Ltd. All rights reserved."	10.1016/j.marpolbul.2008.11.007	2009,N,N,Y
9	Statistical approaches in the development of clinical practice guidelines from expert panels - The case of laminectomy in sciatica patients	"BACKGROUND. Variation in expert opinion and lack of a systematic methodology hinder the development of reliable clinical practice guidelines. However standardized protocols have been defined to quantify, combine, and summarize expert judgments. In addition, statistical methods may help to outline guidelines based on simplified models of these judgments. METHODS. TO test this hypothesis, stepwise logistic regression (SLR) and classification tree pruning (CTP) were used to predict the results of two expert panels (USA 1992 and Switzerland 1995) on laminectomy in sciatica conditions. Both panels, using the RAND-UCLA explicit method, assessed whether the procedure would be inappropriate or of potential use in 720 case scenarios combining 7 relevant factors. RESULTS. Laminectomy was rated as inappropriate in 60% and 70% of the scenarios by the US and Swiss panels, respectively. Either statistical method, in both panels, based its simplest model on the same 4 factors, as follows: imaging test results; disability; neurological findings; and conservative treatment trials (in decreasing order); the influence of 2 other factors, duration of pain and nerve root irritation, were only marginal. The correct classification rates of the models were 89% and 93% for SLR and 93% and 85% for CTP. Adopting the CTP US algorithm as a guideline would lead to consider performing laminectomy only in patients with imaging evidence of hernia, relatively severe disability, reflex abnormalities, and previous nonsurgical treatment. Adherence to the corresponding CTP Swiss algorithm would result in less restrictive conditions. CONCLUSION. The statistical techniques proved as useful instruments to structure and simplify appropriateness criteria developed by expert panels and to outline parsimonious decision models for clinical practice."	10.1097/00005650-199908000-00008	1999,N,N,N
11	Risk of surgery for subacromial impingement syndrome in relation to neck-shoulder complaints and occupational biomechanical exposures: a longitudinal study	"Objectives The aim of this longitudinal study was to evaluate the risk of surgery for subacromial impingement syndrome (SIS) in relation to neck-shoulder complaints and occupational biomechanical shoulder exposures. Methods The study was based on the Musculoskeletal Research Database at the Danish Ramazzini Centre. We linked baseline questionnaire information from 1993-2004 on neck-shoulder complaints, job titles, psychosocial work factors, body mass index, and smoking with register information on first-time surgery for SIS from 1996-2008. Biomechanical exposure measures were obtained from a job exposure matrix based on expert judgment. We applied multivariable Cox regression. Results During 280 125 person-years of follow-up among 37 402 persons, 557 first-time operations for SIS occurred. Crude surgery rates increased from 1.1 to 2.5 per 1000 person-years with increasing shoulder load. Using no neck-shoulder complaints and low shoulder load at baseline as a reference, no neck-shoulder complaints and high shoulder load showed an adjusted hazard ratio (HRadj) of 2.55 [95% confidence interval (95% CI) 1.59-4.09], while neck-shoulder complaints in combination with high shoulder load showed an HRadj of 4.52 (95% CI 2.87-7.13). Subanalyses based on 18 856 persons showed an HRadj of 5.40 (95% CI 2.88-10.11) for complaints located specifically in the shoulder in combination with high shoulder load. Conclusions Based on these findings, persons with neck-shoulder and especially shoulder complaints in combination with high shoulder load seem an obvious target group for interventions aimed at reducing exposures to prevent surgery for SIS."	10.5271/sjweh.3374	2013,N,N,N
12	Modeling hypoxia in the Chesapeake Bay: Ensemble estimation using a Bayesian hierarchical model	"Quantifying parameter and prediction uncertainty in a rigorous framework can be an important component of model skill assessment. Generally, models with lower uncertainty will be more useful for prediction and inference than models with higher uncertainty. Ensemble estimation, an idea with deep roots in the Bayesian literature, can be useful to reduce model uncertainty. It is based on the idea that simultaneously estimating common or similar parameters among models can result in more precise estimates. We demonstrate this approach using the Streeter-Phelps dissolved oxygen sag model fit to 29 years of data from Chesapeake Bay. Chesapeake Bay has a long history of bottom water hypoxia and several models are being used to assist management decision-making in this system. The Bayesian framework is particularly useful in a decision context because it can combine both expert-judgment and rigorous parameter estimation to yield model forecasts and a probabilistic estimate of the forecast uncertainty. Published by Elsevier B.V."	10.1016/j.jmarsys.2008.05.008	2009,N,N,Y
13	Life cycle assessment of fuel cell vehicles - A methodology example of input data treatment for future technologies	"Life cycle assessment (LCA) will always involve some subjectivity and uncertainty. This reality is especially true when the analysis concerns new technologies. Dealing with uncertainty can generate richer information and minimize some of the result mismatches currently encountered in the literature. As a way of analyzing future fuel cell vehicles and their potential new fuels, the Fuel Upstream Energy and Emission Model (FUEEM) developed at the University of California - Davis, pioneered two different ways to incorporate uncertainty into the analysis. First, the model works with probabilistic curves as inputs and with Monte Carlo simulation techniques to propagate the uncertainties. Second, the project involved the interested parties in the entire process, not only in the critical review phase. The objective of this paper is to present, as a case study, the tools and the methodologies developed to acquire most of the knowledge held by interested parties and to deal with their eventually conflicted - interests. The analysis calculation methodology, the scenarios, and all assumed probabilistic curves were derived from a consensus of an international expert network discussion, using existing data in the literature along with new information collected from companies. The main part of the expert discussion process uses a variant of the Delphi technique, focusing on the group learning process through the information feedback feature. A qualitative analysis indicates that a higher level of credibility and a higher quality of information can be achieved through a more participatory process. The FUEEM method works well within technical information and also in establishing a reasonable set of simple scenarios. However, for a complex combination of scenarios, it will require some improvement. The time spent in the process was the major drawback of the method and some alternatives to share this time cost are suggested."	10.1065/lca2002.02.074	2002,N,N,N
15	Knowing the crowd within: Metacognitive limits on combining multiple judgments	"We investigated how decision-makers use multiple opportunities to judge a quantity. Decision-makers undervalue the benefit of combining their own judgment with an advisor's, but theories disagree about whether this bias would apply to combining several of one's own judgments. Participants estimated percentage answers to general knowledge questions (e.g., What percent of the world's population uses the Internet?) on two occasions. In a final decision phase, they selected their first, second, or average estimate to report for each question. We manipulated the cues available for this final decision. Given cues to general theories (the labels first guess, second guess, average), participants mostly averaged, but no more frequently on trials where the average was most accurate. Given item-specific cues (numerical values of the options), metacognitive accuracy was at chance. Given both cues, participants mostly averaged and switched strategies based on whichever yielded the most accurate value on a given trial. These results indicate that underappreciation of averaging estimates does not stem only from social differences between the self and an advisor and that combining general and item-specific cues benefits metacognition. (C) 2013 Elsevier Inc. All rights reserved."	10.1016/j.jml.2013.10.002	2014,Y,Y,Y
16	Fuzzy Inference-Enhanced VC-DRSA Model for Technical Analysis: Investment Decision Aid	"To support investment decision based on technical analysis (TA), this study aims to retrieve the knowledge or rules of various indicators by a hybrid soft computing model. Although the validity of TA has been examined extensively by various statistical methods in literature, previous studies mainly explored the effectiveness of each technical indicator separately; therefore, a practical approach that may consider the inconsistency of various technical indicators simultaneously and the down-side risk of an investment decision is still underexplored. Thus, a hybrid model-by constructing a variable consistency dominance-based rough set approach (VC-DRSA) information system with the fuzzy inference-enhanced discretization of signals-is proposed, to retrieve the imprecise patterns from commonly adopted technical indicators. At the first stage, the trading signals (i.e., buy, neutral, or sell) are preprocessed in two groups: straight-forward signals and complicated signals. The straight-forward technical indicators (i.e., for signals that are decided by precise rules) are suggested by domain experts, and the buy-in signals are simulated by several trading strategies to examine the outcomes of each indicator. As for those complicated signals (i.e., for signals that require imprecise judgments with perceived feeling of domain experts to identify patterns), a fuzzy inference technique is incorporated to enhance the discretization of signals; those signals are also simulated by the aforementioned trading strategies to obtain the corresponding results. At the second stage, the trading signals generated by each technical indicator and their pertinent results from the previous stage are combined for VC-DRSA modeling to gain decision rules. To illustrate the proposed model, the weighted average index of the Taiwan stock market was examined from mid/2002 to mid/2014, and a set of decision rules with nearly 80 % classification accuracy (both in the training and the testing sets) were obtained in this empirical case. The findings suggest that several technical indicators should be considered simultaneously, and the retrieved rules (knowledge) have practical implications for investors."	10.1007/s40815-015-0058-8	2015,N,Y,Y
19	Forecasting China's foreign trade volume with a kernel-based hybrid econometric-AI ensemble learning approach	"Due to the complexity of economic system and the interactive effects between all kinds of economic variables and foreign trade, it is not easy to predict foreign trade volume. However, the difficulty in predicting foreign trade volume is usually attributed to the limitation of many conventional forecasting models. To improve the prediction performance, the study proposes a novel kernel-based ensemble learning approach hybridizing econometric models and artificial intelligence (AI) models to predict China's foreign trade volume. In the proposed approach, an important econometric model, the co-integration-based error correction vector auto-regression (EC-VAR) model is first used to capture the impacts of all kinds of economic variables on Chinese foreign trade from a multivariate linear analysis perspective. Then an artificial neural network (ANN) based EC-VAR model is used to capture the nonlinear effects of economic variables on foreign trade from the nonlinear viewpoint. Subsequently, for incorporating the effects of irregular events on foreign trade, the text mining and expert's judgmental adjustments are also integrated into the nonlinear ANN-based EC-VAR model. Finally, all kinds of economic variables, the outputs of linear and nonlinear EC-VAR models and judgmental adjustment model are used as input variables of a typical kernel-based support vector regression (SVR) for ensemble prediction purpose. For illustration, the proposed kernel-based ensemble learning methodology hybridizing econometric techniques and AI methods is applied to China's foreign trade volume prediction problem. Experimental results reveal that the hybrid econometric-AI ensemble learning approach can significantly improve the prediction performance over other linear and nonlinear models listed in this study."	10.1007/s11424-008-9062-5	2008,N,N,N
20	Quantifying ecosystem quality by modeling multi-attribute expert opinion	"The evaluation of ecosystem quality is inherently subjective, requiring decisions about which variables to notice or measure, and how these variables are integrated into a coherent evaluation. Despite the central role of human judgment, few evaluation methods address the subjectivity that is inherent in their design. There are, however, advantages to directly using opinion to create an expert system where the metric is constructed around opinion data. These advantages include stakeholder inclusion and the encouragement of a dialogue of data-driven criticism rather than subjective counter-opinion. We create an expert system to express the quality of a grassland ecosystem in Australia. We use an ensemble of bagged regression trees trained on calibrated expert preference data, to model the perceived quality of this grassland using a set of eight site variables as inputs. The model provides useful predictions of grassland quality, producing predictions similar to real expert evaluations of independent synthetic test sites not used to train the model. We apply the model to real grassland sites ranging from pristine to highly degraded, and confirm that our model orders the sites according to their degree of modification. We demonstrate that the use of too few experts produces relatively poor results, and show that for our problem the use of data from over twenty experts is appropriate. The scaling approach we used to calibrate between-expert data is shown to be an appropriate mechanism for aggregating the opinions of multiple experts. The resultant model will be useful in many contexts, and can be used by managers as a tool to evaluate real sites. It can also be integrated into ecological models of change as a means of evaluating predicted changes, for example, as a measure of utility when combined with cost estimates. The basic approach demonstrated here is applicable to any ecosystem, and we discuss the opportunities and limitations of its wider use."	10.1890/14-1485.1	2015,N,Y,Y
22	Predicting Risk in Missions under Sea Ice with Autonomous Underwater Vehicles	"Autonomous Underwater Vehicles (AUVs) have a future as effective platforms for multi-disciplinary science research and monitoring in the polar oceans. However, operation under ice may involve significant risk to the vehicle. A risk assessment and management process that balances the risk appetite of the responsible owner with the reliability of the vehicle and the probability of loss has been proposed. A critical step in the process of assessing risk is based on expert judgment of the fault history of the vehicle, and what affect faults or incidents have on the probability of loss. However, this subjective expert judgment is sensitive to the nature of sea ice cover. In contrast to the simple, yet high risk, case of operation under an ice shelf, sea ice offers a complex risk environment. Furthermore, the risk is modified by the characteristics of the support vessel, especially its ice-breaking capability. We explore how the ASPeCt sea ice characterization protocol and probability distributions of ice thickness and concentration can be used within a rigorous process to quantify risk given a range of sea ice conditions and with ships of differing ice capabilities. A solution founded on a Bayesian Belief Network approach is proposed, where the results of the expert judgment elicitation is taken as a reference. The design of the network topology captures the causal effects of the environment separately on the vehicle and on the ship, and combines these to produce the output. Complementary expert knowledge is included within the conditional probability tables of the Bayesian Belief Network. Using expert judgment on the fault history of the Autosub3 vehicle and sea ice data gathered in the Arctic and Antarctic by its predecessor, Autosub2, examples are provided of how risk is modified by the sea ice environment."	10.1109/AUV.2008.5290536	2008,N,N,N
25	Stochastic control and optimization in retail distribution: an empirical study of a Korean fashion company	"Considerable research has recently been conducted on improving the business performance of the fashion industry through supply-chain streamlining. In addition, the accuracy enhancement of sales forecasting by using statistical methods and machine learning algorithms to minimize inventory and improve profitability has been investigated. However, few studies have focused on solving the initial distribution problem to reduce logistical costs and loss of sales opportunities. This study solves the mathematical problems related to initial distributions of fashion products using stochastic control and optimization by conducting an empirical study using real data from a leading Korean fashion company. The initial distribution of a small quantity of items among numerous shops and the distribution of special sizes produced in small quantities were examined. Monte-Carlo simulations and Lebesgue's convergence theorem were considered useful for determining initial distributions of stock produced in small quantities. Furthermore, optimal initial distributions can be achieved when experience-based expert judgment is combined with mathematical modeling using stochastic control and optimization."	10.1080/00405000.2018.1478268	2019,N,N,N
27	Forecasting container throughput with big data using a partially combined framework	"This study proposes a partially-combined forecasting framework for container throughput based on big data composed of structured historical data and unstructured data. Under the proposed framework, the structured data (the original time series) is firstly decomposed into linear component and nonlinear component. Seasonal auto-regression integrated moving average model (SARIMA) is adopted to capture and forecast the linear component, and a combined model, composed of least squares support vector regression (LSSVR) and artificial neural network (GP), is applied to modeling the nonlinear component. Next, unstructured data is analyzed by an expert system. With the synthesized expert judgment, the forecasts of linear and nonlinear components are integrated into a final forecast. For the illustration and verification purpose, an empirical study is conducted with the data of Qingdao Port. The results show that the model under the proposed framework significantly outperforms its competitive rivals."	0	2015,N,N,N
28	CORRECTION OF PREDICTION MODEL OUTPUT-APPLICATION TO GENERAL CORROSION MODEL	This paper applies a newly developed methodology to calibrate the corrosion model within a structural reliability analysis. The methodology combines data from experience (measurements and expert judgment) and prediction models to adjust the structural reliability models. Two corrosion models published in the literature have been used to demonstrate the technique used for the model calibration. One model is used as a prediction for a future degradation and a second one to represent the inspection recorded data. The results of the calibration process are presented and discussed.	10.3940/rina.ijme.2014.a4.310	2014,N,N,N
31	A Review of the Application of Analytic Hierarchy Process to the Planning and Operation of Electric Power Microgrids	"This paper reviews literature that identifies the need for decision-making associated with the design and operation of electric power grids including microgrids. In particular, it examines the current applications of analytic hierarchy process (AHP) as the decision-making tool for electric power grids and microgrids. AHP is a decision making tool based on expert judgments that has been successfully applied in design and operation for the power systems. One advantage of AHP is its ability to incorporate subjective constraints. The current application of A]HP to grid connected power systems includes selection of generating units, identifying protection system vulnerability, prioritizing line maintenance, determining DC deployment and configurations, analyzing energy planning under uncertainty, locating and sizing of VAR sources, value based budgeting, choosing dispatch scenarios, forecasting loads, integrated resource planning, and determining combined active and reactive dispatch AHP has been applied to islanded microgrids for load shedding and optimizing cost. This paper concludes with proposals for expanding the use of AHP for decision-making for islanded microgrids."	0	2008,N,N,N
32	Organizing new methods for erosion and sedimentation monitoring and control	"Historic and continuing land uses at the U.S. Army's Fort Carson and the Pinon Canyon Maneuver Site (PCMS) may degrade training lands and cause erosion and increased sediment loading of local waters. A team of experts from the U.S. Geological Survey, the USDA Agricultural Research Service's Southwest Watershed Research Center, and two offices of the USDA Natural Resources Conservation Service is identifying methods and projects that can be used by Army land managers to evaluate the Army's potential contribution to the regional sediment pollution problem. Projects include site reclamation to control erosion and sediment transport; monitoring of stream flow, climate, and sediment concentrations; prediction of soil erosion; and assessment of rangeland health. Although the team has coordinated several agency projects and improved the overall approach to erosion and sedimentation monitoring and control, new research and technology will ensure additional progress in the future. This will include quantifying the impacts of military land use and training activities and maintaining this information in databases to enable the development of measurement techniques and indicators of ecosystem status, change and damage. Integrated information systems are required to combine the power of modern databases, simulation modeling, and expert judgment in designing and evaluating erosion control measures in terms of erosion and sediment transport processes. Because environmental concerns do not conform to political or administrative boundaries, the Army/ARS/USGS/NRCS team shares ideas and resources to provide both the Army and the regional community with responsible environmental management. Fort Carson's multidisciplinary team adopts the challenge of change, demonstrates new directions in managing highly complex challenges, and validates the federal government's effectiveness and ability to be efficient."	0	2000,N,N,N
