,TI,AB,DI,PY,crowd,experts,aggregation,all,notes
23,Comparing models for quantitative risk assessment: an application to the European Registry of foreign body injuries in children,"Risk Assessment is the systematic study of decisions subject to uncertain consequences. An increasing interest has been focused on modeling techniques like Bayesian Networks since their capability of (1) combining in the probabilistic framework different type of evidence including both expert judgments and objective data; (2) overturning previous beliefs in the light of the new information being received and (3) making predictions even with incomplete data. In this work, we proposed a comparison among Bayesian Networks and other classical Quantitative Risk Assessment techniques such as Neural Networks, Classification Trees, Random Forests and Logistic Regression models. Hybrid approaches, combining both Classification Trees and Bayesian Networks, were also considered. Among Bayesian Networks, a clear distinction between purely data-driven approach and combination of expert knowledge with objective data is made. The aim of this paper consists in evaluating among this models which best can be applied, in the framework of Quantitative Risk Assessment, to assess the safety of children who are exposed to the risk of inhalation/insertion/aspiration of consumer products. The issue of preventing injuries in children is of paramount importance, in particular where product design is involved: quantifying the risk associated to product characteristics can be of great usefulness in addressing the product safety design regulation. Data of the European Registry of Foreign Bodies Injuries formed the starting evidence for risk assessment. Results showed that Bayesian Networks appeared to have both the ease of interpretability and accuracy in making prediction, even if simpler models like logistic regression still performed well.",10.1177/0962280213476167,2016,N,Y,Y,FALSE,
24,Principles of forecasting - A short overview,"Forecasting procedures are needed when there is uncertainty about the future. In our contribution we discuss some principles that can help to make more accurate forecasts and help to better assess the uncertainty associated with forecasts. We mainly discuss statistical forecasting procedures, but other principles based on experts (judgmental forecasting) and integrating and combining approaches are also mentioned. We show some results of forecasting in two different application areas.",0,1999,N,Y,N,FALSE,
26,"Predicting elections: Experts, polls, and fundamentals","This study analyzes the relative accuracy of experts, polls, and the so-called 'fundamentals' in predicting the popular vote in the four U.S. presidential elections from 2004 to 2016. Although the majority (62%) of 452 expert forecasts correctly predicted the directional error of polls, the typical expert's vote share forecast was 7% (of the error) less accurate than a simple polling average from the same day. The results further suggest that experts follow the polls and do not sufficiently harness information incorporated in the fundamentals. Combining expert forecasts and polls with a fundamentals-based reference class forecast reduced the error of experts and polls by 24% and 19%, respectively. The findings demonstrate the benefits of combining forecasts and the effectiveness of taking the outside view for debiasing expert judgment.",0,2018,Y,Y,Y,TRUE,
29,A study on the space distribution and temporal evolvement of electric power load,"Spatial load forecasting hinges on choosing suitable load density. Because of load density is influenced by many uncertain factors, taking various objective factors into account on the basis of expert experience judgment will be a great help to improve the precision of forecasting load density. The selection of load density bases on a large number of samples. This paper establishes cloud generator to extend the data of finite samples. This paper selects the influence factors which play an important role in the load density and introduces cloud theory and analytic hierarchy process to analyze the combination weight vector of various factors. Use the ideal approximation method to select the optimal load density based on the expanded sample data and modify the load density based on the similarity method. Inputting the values of influencing factors in a given year of the area to be predicted, it can be worked out that the load density of the area in the given year. This method can not only predict the spatial distribution of the electric power load, but also predict the evolution process of the spatial load. An example demonstrates the superiority of the proposed model in spatial load forecasting.",0,2011,N,N,N,FALSE,
30,Optimization of bridge maintenance actions considering combination of sources of information: Inspections and expert judgment,"The use of advanced probabilistic life-cycle deterioration models is fundamental in bridge maintenance and management. However, such models must be based on direct and indirect information on structural performance, including results of inspections, health monitoring, but also expert judgment and information on other similar structures. A probabilistic deterioration model, considering both condition and safety as indicators of performance, is used as a decision aid in bridge management. The data considered for defining the performance profiles over time is based on the expert opinion, resulting from observation of similar structures. In order to reduce uncertainty and correct the existing predictions, the results of direct information, in the form of visuals inspections, are combined with the initial prediction. The combination of these two sources of information is performed considering Bayesian updating techniques. Based on this new information, it is possible, considering multi-objective optimization using genetic algorithms, to define the optimal lifetime maintenance strategy for a structure. The methodology is applied to a set of bridge components. The results show the significant improvement in prediction quality obtained by combining different sources of information, even if the quality of the obtained data is limited. Moreover, the impact of the new information on the optimal maintenance strategies is quantified.",0,2010,N,Y,Y,FALSE,
33,Multi-hierarchical durability assessment of existing reinforced-concrete structures,"Durability of an existing reinforced concrete structure is one of the most important problems for its users and owners. However, no systematic durability assessment approach exists currently. The assessment results vary in relation to the knowledge, expertise, and partiality of the assessor. Additionally, most assessment may not focus on all the key system parameters that affect structural durability. This paper aims at establishing a systematic durability assessment approach for R.C. Structures. The development of such an approach would help to identify all major parameters that affect structural durability and in addition, would enable assessors to collect both qualitative as well as quantitative information in a standard format for any given reinforced concrete structure. Furthermore, such a systematic assessment approach would provide a fair and objective way for analyzing and dealing with data collected by field inspection. Firstly, by Saaty's ratio scaling method, which scientifically quantifies the subjective information of expert judgments. Secondly, on basis of the properties of entropy, which combines the subjective information of expert judgments with the intrinsic information of assessment parameters. Then, taking gray relation grade as criterion, which obtains the deterioration degree and deterioration rate for a given structure. Finally, based on the assumption that deterioration varies with time exponentially, it gives the present performance and residual service life for any existing reinforced concrete structure.",0,1999,Y,Y,Y,TRUE,
1,Aggregating Probability Distributions,"This chapter is concerned with the aggregation of probability distributions in decision and risk analysis. Experts often provide valuable information regarding important uncertainties in decision and risk analyses because of the limited availability of hard data to use in those analyses. Multiple experts are often consulted in order to obtain as much information as possible, leading to the problem of how to combine or aggregate their information. Information may also be obtained from other sources such as forecasting techniques or scientific models. Because uncertainties are typically represented in terms of probability distributions, we consider expert and other information in terms of probability distributions. We discuss a variety of models that lead to specific combination methods. The output of these methods is a combined probability distribution, which can be viewed as representing a summary of the current state of information regarding the uncertainty of interest. After presenting the models and methods, we discuss empirical evidence on the performance of the methods. In the conclusion, we highlight important conceptual and practical issues to be considered when designing a combination process for use in practice.",10.1017/CBO9780511611308.010,2007,Y,Y,Y,TRUE,this one looks highly relevant!
6,Median Aggregation of Distribution Functions,"When multiple redundant probabilistic judgments are obtained from subject matter experts, it is common practice to aggregate their differing views into a single probability or distribution. Although many methods have been proposed for mathematical aggregation, no single procedure has gained universal acceptance. The most widely used procedure is simple arithmetic averaging, which has both desirable and undesirable properties. Here we propose an alternative for aggregating distribution functions that is based on the median cumulative probabilities at fixed values of the variable. It is shown that aggregating cumulative probabilities by medians is equivalent, under certain conditions, to aggregating quantiles. Moreover, the median aggregate has better calibration than mean aggregation of probabilities when the experts are independent and well calibrated and produces sharper aggregate distributions for well-calibrated and independent experts when they report a common location-scale distribution. We also compare median aggregation to mean aggregation of quantiles.",10.1287/deca.2013.0282,2013,Y,Y,Y,TRUE,highly relevant!
9,Crowd Wisdom Relies on Agents' Ability in Small Groups with a Voting Aggregation Rule,"In the last decade, interest in the ""wisdom of crowds"" effect has gained momentum in both organizational research and corporate practice. Crowd wisdom relies on the aggregation of independent judgments. The accuracy of a group's aggregate prediction rises with the number, ability, and diversity of its members. We investigate these variables' relative importance for collective prediction using agent-based simulation. We replicate the ""diversity trumps ability"" proposition for large groups, showing that samples of heterogeneous agents outperform same-sized homogeneous teams of high ability. In groups smaller than approximately 16 members, however, the effects of group composition depend on the social decision function employed: diversity is key only in continuous estimation tasks (averaging) and much less important in discrete choice tasks (voting), in which agents' individual abilities remain crucial. Thus, strategies to improve collective decision making must adapt to the predictive situation at hand.",10.1287/mnsc.2015.2364,2017,Y,N,Y,FALSE,
11,Combination and Selection of Traffic Safety Expert Judgments for the Prevention of Driving Risks,"In this paper, we describe a new framework to combine experts' judgments for the prevention of driving risks in a cabin truck. In addition, the methodology shows how to choose among the experts the one whose predictions fit best the environmental conditions. The methodology is applied over data sets obtained from a high immersive cabin truck simulator in natural driving conditions. A nonparametric model, based in Nearest Neighbors combined with Restricted Least Squared methods is developed. Three experts were asked to evaluate the driving risk using a Visual Analog Scale (VAS), in order to measure the driving risk in a truck simulator where the vehicle dynamics factors were stored. Numerical results show that the methodology is suitable for embedding in real time systems.",10.3390/s121114711,2012,Y,Y,Y,TRUE,
12,A Demand Forecasting Methodology for Fuzzy Environments,"Several supply chain and production planning models in the literature assume the demands are fuzzy but most of them do not offer a specific technique to derive the fuzzy demands. In this study, we propose a methodology to obtain a fuzzy-demand forecast that is represented by a possibilistic distribution. The fuzzy-demand forecast is found by aggregating forecasts based on different sources; namely statistical forecasting methods and experts' judgments. In the methodology, initially, the forecast derived from the statistical forecasting techniques and experts' judgments are represented by triangular possibilistic distributions. Subsequently, those results are combined by using weights assigned to each of them. A new objective weighting approach is used to find the weights. The proposed methodology is illustrated by an example and a sensitivity analysis is provided.",0,2010,Y,Y,Y,TRUE,
13,Recommending Outfits from Personal Closet,"We consider grading a fashion outfit for recommendation, where we assume that users have a closet of items and we aim at producing a score for an arbitrary combination of items in the closet. The challenge in outfit grading is that the input to the system is a bag of item pictures that are unordered and vary in size. We build a deep neural network-based system that can take variable-length items and predict a score. We collect a large number of outfits from a popular fashion sharing website, Polyvore, and evaluate the performance of our grading system. We compare our model with a random-choice baseline, both on the traditional classification evaluation and on people's judgment using a crowdsourcing platform. With over 84% in classification accuracy and 91% matching ratio to human annotators, our model can reliably grade the quality of an outfit. We also build an outfit recommender on top of our grader to demonstrate the practical application of our model for a personal closet assistant.",10.1109/WACV.2018.00036,2018,Y,N,Y,FALSE,
14,Deriving the probability of a linear opinion pooling method being superior to a set of alternatives,"Linear opinion pools are a common method for combining a set of distinct opinions into a single succinct opinion, often to be used in a decision making task. In this paper we consider a method, termed the Plug-in approach, for determining the weights to be assigned in this linear pool, in a manner that can be deemed as rational in some sense, while incorporating multiple forms of learning over time into its process. The environment that we consider is one in which every source in the pool is herself a decision maker (DM), in contrast to the more common setting in which expert judgments are amalgamated for use by a single DM. We discuss a simulation study that was conducted to show the merits of our technique, and demonstrate how theoretical probabilistic arguments can be used to exactly quantify the probability of this technique being superior (in terms of a probability density metric) to a set of alternatives. Illustrations are given of simulated proportions converging to these true probabilities in a range of commonly used distributional cases.",10.1016/j.ress.2016.10.008,2017,Y,Y,Y,TRUE,
15,Uncertainty and Expert Assessment for Supporting Evaluation of Levees Safety,"In France, levees remain most of the time badly maintained; these long linear structures show signs of weaknesses on numerous occasions. Only incomplete information is usually available. The general lack of data describing the behavior of the infrastructure during unwanted events led to estimate their safety mainly from expert judgment. Thus the ability of the expert to predict the level of functioning of an infrastructure for a type of hazard and its intensity is crucial. An error of judgment can have very serious consequences and the production of reliable information requires the ability of the expert to report accurately the uncertainties in its estimations, as well as associated confidence. In order to meet this need, our research within Incertu project (French Ministry of Ecology funding) aims to produce relevant scientific approaches and tools for the collection and processing reliable experts' statements or combined with a confidence level in the context of uncertain information and input data.",10.1051/e3sconf/20160703019,2016,Y,Y,Y,TRUE,
