,word,freq
227,failur,5
781,determin,5
537,second,5
680,ecolog,5
1039,restrict,5
323,biodivers,5
1078,game,5
595,quantifi,5
917,fit,5
241,literatur,5
760,algorithm,5
771,monitor,5
148,identifi,5
245,us,5
669,quantiti,5
906,invers,5
150,scienc,5
82,state,5
263,market,5
255,within,5
256,across,5
558,vehicl,5
559,auv,5
422,scheme,5
294,often,5
279,greater,5
846,challeng,5
625,environ,5
477,take,5
93,experi,5
354,popul,5
893,context,5
719,portfolio,5
189,scenario,5
1062,harvest,5
579,observ,5
285,publish,5
77,rather,5
834,western,5
10,addit,5
565,dure,5
961,neural,5
962,net,5
365,scale,5
789,found,5
1016,expect,5
21,best,5
25,issu,5
340,either,5
545,judg,5
564,behavior,5
522,1,5
103,network,5
50,design,5
541,thus,5
346,independ,5
124,character,4
613,equal,4
127,describ,4
891,articl,4
775,purpos,4
402,hierarchi,4
107,power,4
118,varieti,4
116,investig,4
362,littl,4
827,domain,4
822,posit,4
837,aim,4
356,exist,4
1109,drive,4
808,50,4
374,separ,4
102,belief,4
514,event,4
513,uncertain,4
336,freshwat,4
637,occurr,4
872,evalu,4
640,qualiti,4
878,softwar,4
392,formal,4
115,past,4
879,intens,4
83,remain,4
313,empir,4
776,loss,4
311,current,4
137,tree,4
366,nutrient,4
540,direct,4
160,classic,4
920,subset,4
923,veri,4
485,tourism,4
231,yield,4
141,chloroform,4
555,rang,4
53,systemat,4
218,e,4
952,product,4
1015,would,4
717,robust,4
1010,higher,4
206,natur,4
203,pra,4
463,fuzzi,4
464,rule,4
47,iter,4
9,valuabl,4
694,outcom,4
577,success,4
690,outperform,4
915,consist,4
230,analys,4
758,part,4
251,reduct,4
501,modul,4
661,solut,4
68,low,4
278,substanti,4
426,analyz,4
1149,pool,4
895,critic,4
405,larg,4
249,2012,4
406,influenc,4
1111,truck,3
78,build,3
712,better,3
469,enabl,3
454,seri,3
481,benefici,3
708,shown,3
1192,netherland,3
458,regress,3
475,dss_df,3
476,adapt,3
648,caus,3
633,period,3
31,basi,3
1137,score,3
652,oxygen,3
491,total,3
51,help,3
40,role,3
742,enter,3
60,doe,3
677,express,3
505,abil,3
750,difficult,3
731,consequ,3
486,tdfs,3
753,main,3
724,nonlinear,3
756,solv,3
483,introduc,3
638,kill,3
788,defin,3
398,affect,3
399,ignor,3
791,taken,3
636,health,3
1121,numer,3
450,certain,3
500,correspond,3
87,hailfind,3
284,institut,3
196,weak,3
608,deriv,3
152,workshop,3
18,explor,3
174,human,3
518,transform,3
267,gain,3
269,increas,3
270,especi,3
136,util,3
271,situat,3
147,respons,3
1052,waterbird,3
144,biolog,3
143,cancer,3
281,previous,3
1055,among,3
980,sharp,3
258,poll,3
201,inc,3
1043,prove,3
13,public,3
561,oper,3
586,campaign,3
590,maximum,3
1024,point,3
956,pattern,3
164,consider,3
163,vari,3
968,even,3
244,six,3
246,presidenti,3
972,dynam,3
204,subsurfac,3
202,framework,3
158,theori,3
222,wast,3
560,complex,3
892,hybrid,3
852,resourc,3
619,small,3
874,qa,3
571,initi,3
335,respect,3
623,sampl,3
338,declin,3
624,superior,3
849,five,3
875,activ,3
347,macroinvertebr,3
1093,hockey,3
844,strateg,3
572,reach,3
839,area,3
994,equat,3
836,nation,3
539,confid,3
106,emerg,3
176,lower,3
195,strength,3
325,wide,3
324,world,3
529,tend,3
1075,gees,3
984,countri,3
531,5,3
532,occur,3
309,output,3
987,sku,3
1007,credibl,3
125,carcinogen,3
887,collect,3
1189,copula,2
682,polit,2
1283,possibilist,2
1190,rain,2
582,bay,2
1219,dm,2
658,proven,2
583,feedback,2
585,actual,2
627,10,2
1208,tunnel,2
626,2014,2
620,2,2
642,neus,2
1182,assign,2
617,characterist,2
1226,proport,2
614,cross,2
1206,durat,2
644,estuari,2
1205,amount,2
657,frequenc,2
1240,port,2
667,exploit,2
607,call,2
668,translat,2
1252,infrastructur,2
598,carp,2
674,mont,2
675,carlo,2
592,led,2
678,captur,2
686,popular,2
993,bootstrap,2
1181,merit,2
890,sole,2
1046,per,2
1047,pos,2
1048,distinct,2
1050,demographi,2
1051,european,2
1053,understood,2
899,major,2
575,agre,2
1063,whose,2
1070,markov,2
886,fact,2
858,soil,2
1073,taiga,2
1074,bean,2
883,check,2
882,content,2
881,defect,2
880,capabl,2
1077,fabali,2
876,control,2
1083,speci,2
1089,trade,2
1041,size,2
914,reproduc,2
918,adequ,2
1040,metric,2
996,intuit,2
1001,lie,2
991,work,2
989,give,2
988,sale,2
1003,fulli,2
977,appropri,2
976,lack,2
964,interpret,2
960,neighbor,2
959,nearest,2
946,find,2
943,trim,2
941,advantag,2
936,multicriteria,2
934,age,2
933,manner,2
931,unit,2
1018,ad,2
929,offici,2
924,target,2
869,secur,2
857,select,2
689,year,2
728,return,2
759,therefor,2
1140,nomin,2
1143,varianc,2
1144,covari,2
1150,examin,2
749,difficulti,2
748,inevit,2
739,busi,2
736,great,2
733,strong,2
726,accord,2
853,energi,2
1151,quadrat,2
721,patent,2
1158,ppp,2
710,quantil,2
706,cumul,2
1161,sparsiti,2
705,properti,2
703,desir,2
1178,associ,2
693,earli,2
1138,composit,2
762,notat,2
763,imprecis,2
764,classif,2
1098,befor,2
1103,season,2
1110,cabin,2
835,gwds,2
830,upper,2
821,entri,2
815,music,2
806,ltd,2
1116,ask,2
992,assum,2
803,sea,2
800,sensit,2
790,bbn,2
786,narrow,2
782,alon,2
780,cannot,2
777,mission,2
1136,various,2
770,platform,2
767,incomplet,2
766,name,2
576,upon,2
643,river,2
473,mechan,2
512,consensus,2
280,12,2
61,sens,2
64,although,2
28,topic,2
429,contain,2
168,drink,2
170,least,2
496,compris,2
497,stage,2
105,recent,2
427,pressur,2
265,ani,2
498,preliminari,2
367,runoff,2
502,interact,2
173,signific,2
503,anoth,2
504,focus,2
175,much,2
248,1992,2
73,serious,2
508,postgradu,2
509,student,2
239,relationship,2
238,causal,2
58,divers,2
490,arriv,2
292,concern,2
440,mountain,2
453,convent,2
142,exposur,2
343,last,2
456,tsad,2
149,panel,2
444,df,2
134,likelihood,2
461,arma,2
153,review,2
443,dss,2
131,dose,2
439,yucca,2
299,hard,2
329,conserv,2
438,vicin,2
327,togeth,2
437,precipit,2
472,learn,2
357,rich,2
119,insight,2
433,follow,2
487,hong,2
488,kong,2
489,tourist,2
412,comparison,2
70,effort,2
341,terrestri,2
391,aspect,2
370,driver,2
182,disagr,2
199,academ,2
186,standard,2
556,autonom,2
546,approxim,2
397,might,2
380,stream,2
371,potenti,2
535,log,2
205,contamin,2
90,meteorolog,2
80,undertaken,2
385,restor,2
84,insuffici,2
219,g,2
551,deploy,2
384,encourag,2
536,odd,2
557,underwat,2
14,polici,2
519,push,2
209,quantif,2
521,0,2
211,parametr,2
530,toward,2
525,distort,2
407,decompos,2
179,tumor,2
212,inher,2
567,creat,2
229,fault,2
104,bn,2
101,known,2
235,ideal,2
379,reduc,2
528,random,2
1068,logist,1
99,northeastern,1
1059,treati,1
1102,post,1
1104,took,1
1060,mandat,1
1067,theta,1
1066,fragmentari,1
1065,allometr,1
1064,pauciti,1
1105,place,1
1106,77,1
1061,sustain,1
1107,date,1
1069,turn,1
1088,conflict,1
129,pose,1
126,potenc,1
1090,broad,1
1091,corrobor,1
1087,final,1
1092,option,1
1058,intergovernment,1
1086,guid,1
1085,suffici,1
1084,scalar,1
1094,leagu,1
1082,similar,1
1081,rate,1
1095,nhl,1
1080,fennoscandia,1
1096,vector,1
1097,machin,1
1079,bird,1
108,intellig,1
100,colorado,1
1100,lose,1
111,realm,1
1076,anser,1
113,serv,1
1101,89,1
120,regardless,1
1072,poor,1
1099,win,1
574,incid,1
1057,yet,1
1012,met,1
187,epa,1
990,whi,1
181,kidney,1
180,anim,1
995,unobserv,1
997,domin,1
998,less,1
999,221,1
1000,conjectur,1
178,liver,1
1002,core,1
177,extrapol,1
1004,31,1
1005,divid,1
1006,conquer,1
1008,rectifi,1
1009,correct,1
188,calcul,1
191,epidemiologist,1
986,keep,1
975,spars,1
967,conclud,1
207,venu,1
969,though,1
970,advanc,1
971,unexplor,1
973,interv,1
974,infrequ,1
200,press,1
985,stock,1
978,hierarch,1
979,self,1
198,1994,1
981,2300,1
982,166,1
983,address,1
192,chlorin,1
1011,promis,1
1013,2016,1
1056,preced,1
1014,note,1
1036,regular,1
1037,except,1
1038,abl,1
166,100,1
165,essenti,1
159,causat,1
1042,volatil,1
157,consensu,1
1044,link,1
1045,skus,1
155,train,1
154,receiv,1
1049,profit,1
151,specialist,1
146,pharmacokinet,1
145,toxicolog,1
1054,coordin,1
98,weather,1
1035,week,1
1034,life,1
167,ppb,1
172,regulatori,1
1017,survey,1
1019,90,1
1020,day,1
1021,absolut,1
1022,08,1
1023,percentag,1
1025,7,1
1033,question,1
1026,origin,1
1027,beat,1
1028,alreadi,1
1029,whilst,1
1030,benefit,1
1031,continu,1
1032,today,1
1108,prevent,1
1132,aris,1
95,understand,1
1223,argument,1
1225,densiti,1
22,done,1
1227,converg,1
1228,true,1
1229,contributori,1
1230,meanwhil,1
1231,oppos,1
1232,inconsist,1
1233,constraint,1
1234,arima,1
1235,bp,1
1236,ann,1
1237,jm,1
1238,throughput,1
1239,guangzhou,1
19,sensibl,1
1241,abov,1
1224,exact,1
1222,theoret,1
1243,rival,1
1221,amalgam,1
1203,spatial,1
1204,cook,1
39,languag,1
37,qualit,1
1207,line,1
34,inadequaci,1
1209,2017,1
1210,american,1
1211,societi,1
1212,civil,1
1213,engin,1
1214,succinct,1
1215,plug,1
1216,deem,1
1217,ration,1
1218,everi,1
1220,contrast,1
1242,clear,1
1244,impli,1
94,physic,1
1266,pi,1
1268,wish,1
1269,perhap,1
1270,unfamiliar,1
1271,communiti,1
1272,unabl,1
1273,load,1
1274,ningxia,1
1275,provinc,1
1276,ipf,1
1277,parmet,1
1278,parfum,1
1279,suppli,1
1280,chain,1
1281,mention,1
1282,come,1
2,technic,1
1284,triangular,1
1267,comput,1
1265,abstract,1
1245,franc,1
1264,frequent,1
1246,leve,1
1247,bad,1
1248,maintain,1
1249,sign,1
1250,occas,1
1251,usual,1
1253,unwant,1
1254,safeti,1
1255,type,1
1256,hazard,1
1257,crucial,1
1258,meet,1
1259,incertu,1
1260,french,1
1261,ministri,1
1262,fund,1
1263,statement,1
1202,tempor,1
1201,summer,1
1200,minimum,1
1133,testinga,1
1135,selectioni,1
76,neither,1
1139,reflect,1
1141,explicit,1
1142,must,1
69,cost,1
66,tempt,1
1145,without,1
1146,requisit,1
1147,kind,1
1148,naiv,1
1152,circumst,1
1153,disqualifi,1
1154,concav,1
1155,program,1
1156,privat,1
1157,partnership,1
1134,candid,1
965,connect,1
1199,winter,1
1131,1997,1
1112,choos,1
1113,immers,1
1114,nonparametr,1
1115,squar,1
1117,visual,1
1118,analog,1
1119,vas,1
1120,store,1
1122,suitabl,1
1123,embed,1
1124,endeavor,1
1125,behaviour,1
1126,radioact,1
1127,repositori,1
1128,emphas,1
1129,analyst,1
1130,exercis,1
55,treatment,1
1159,tradit,1
1160,former,1
49,protocol,1
44,choic,1
1183,handl,1
1184,complement,1
1185,ongo,1
1186,extrem,1
1187,rainfal,1
1188,bivari,1
43,overconfid,1
42,heurist,1
1191,gaug,1
41,cognit,1
1193,gumbel,1
1194,tail,1
1195,33,1
1196,station,1
1197,notic,1
1198,correl,1
46,refin,1
1180,still,1
1179,efficaci,1
1169,supplement,1
1162,latter,1
1163,step,1
1164,3,1
1165,posterior,1
1166,4,1
1167,multiupd,1
1168,achiev,1
1170,wte,1
48,test,1
1171,inciner,1
1172,feasibl,1
1173,alloc,1
1174,riski,1
1175,immin,1
1176,scarc,1
1177,policymak,1
966,stabil,1
930,mortal,1
208,rigor,1
390,negat,1
460,move,1
457,auto,1
707,fix,1
709,equival,1
455,decomposit,1
711,moreov,1
452,crisp,1
714,sharper,1
715,locat,1
451,etc,1
449,around,1
448,linguist,1
447,custom,1
720,overcom,1
722,instead,1
441,1996,1
725,citat,1
704,undesir,1
702,arithmet,1
701,accept,1
691,fivethirtyeight,1
478,record,1
683,economi,1
684,index,1
685,parti,1
688,throughout,1
470,reason,1
468,infer,1
692,com,1
700,univers,1
467,style,1
466,mamdani,1
695,confirm,1
696,redund,1
697,matter,1
465,modifi,1
462,made,1
727,proxi,1
729,black,1
730,litterman,1
765,class,1
757,delphi,1
417,flexibl,1
416,degre,1
415,good,1
414,offer,1
413,charact,1
411,pairwis,1
410,element,1
754,idea,1
409,elementari,1
768,vagu,1
769,dealt,1
400,comprehens,1
772,militari,1
773,commerci,1
774,gather,1
425,refer,1
428,increment,1
732,becom,1
741,heavi,1
734,orient,1
735,corpor,1
436,breach,1
435,vessel,1
738,launch,1
434,reactor,1
740,avoid,1
743,molecular,1
752,effici,1
744,amplif,1
745,instrument,1
746,exemplifi,1
747,herein,1
432,plant,1
431,nuclear,1
430,sequoyah,1
480,procur,1
482,2006,1
679,contributor,1
544,crowd,1
601,silver,1
602,h,1
603,molitrix,1
604,establish,1
605,lake,1
606,eri,1
547,elimin,1
543,wisdom,1
599,hypophthalmichthi,1
542,fail,1
612,exhibit,1
538,bodi,1
534,arguabl,1
527,end,1
526,compress,1
621,somewhat,1
600,nobili,1
549,principl,1
523,explain,1
587,ice,1
570,remov,1
578,postexpedit,1
569,opportun,1
566,kept,1
562,heavili,1
584,educ,1
553,dive,1
588,cover,1
597,bighead,1
589,arctic,1
552,deep,1
591,9,1
593,24,1
594,sej,1
550,distinguish,1
596,nonindigen,1
622,degrad,1
520,closer,1
484,web,1
665,possess,1
495,room,1
659,elus,1
660,pragmat,1
494,hotel,1
662,estuarin,1
663,fisheri,1
664,scientist,1
666,joint,1
654,anthropogen,1
493,expenditur,1
492,sector,1
670,normal,1
671,drawn,1
672,experienti,1
673,diagram,1
676,full,1
655,pollut,1
653,indirect,1
628,522,1
639,meaning,1
629,528,1
630,author,1
516,close,1
632,wiley,1
634,behalf,1
635,setac,1
510,staff,1
507,lag,1
651,dissolv,1
641,impair,1
506,autoregress,1
645,north,1
646,carolina,1
647,believ,1
649,widespread,1
650,deplet,1
395,interexpert,1
388,buffer,1
963,explan,1
387,habitat,1
896,space,1
897,phase,1
898,legaci,1
276,59,1
900,magnitud,1
901,mmre,1
902,29,1
903,6,1
904,76,1
275,16,1
907,prioriti,1
262,electron,1
909,multi,1
910,criteria,1
911,prefer,1
912,attribut,1
261,iowa,1
894,verif,1
282,2013,1
291,chapter,1
315,highlight,1
871,intend,1
333,ineffect,1
873,assur,1
332,ineffici,1
328,threat,1
877,execut,1
316,conceptu,1
314,conclus,1
889,lifecycl,1
312,interest,1
310,summari,1
884,artifact,1
885,extens,1
303,possibl,1
301,consult,1
888,enough,1
240,summar,1
916,complet,1
919,third,1
951,extract,1
220,buri,1
944,charg,1
945,instanc,1
947,favor,1
948,2002,1
949,acquisit,1
950,necessari,1
216,start,1
221,solid,1
953,logit,1
954,discrimin,1
955,id3,1
214,transport,1
957,k,1
958,nn,1
213,flow,1
942,bypass,1
940,obvious,1
237,assimil,1
573,agreement,1
236,suit,1
233,sinc,1
232,aquif,1
925,permit,1
926,emb,1
927,via,1
928,mix,1
226,proceed,1
939,submit,1
932,improb,1
225,remedi,1
224,aquitard,1
935,appear,1
223,tank,1
937,multiattribut,1
938,member,1
870,implement,1
337,ecosystem,1
868,ensur,1
813,play,1
805,2015,1
375,constitu,1
807,extent,1
373,synthesi,1
809,split,1
810,disregard,1
372,fine,1
814,nineti,1
378,action,1
816,industri,1
817,profession,1
818,88,1
819,recruit,1
820,chart,1
369,temperatur,1
368,urban,1
804,detail,1
802,amundsen,1
824,uk,1
381,slow,1
386,riparian,1
783,consum,1
784,broaden,1
785,beyond,1
787,confin,1
383,resili,1
382,shade,1
792,topolog,1
801,autosub3,1
793,extend,1
794,version,1
795,kaplan,1
796,meier,1
797,profil,1
798,travel,1
799,distanc,1
823,pop,1
825,germani,1
867,recommend,1
339,faster,1
345,decad,1
850,development,1
851,kdds,1
342,marin,1
854,matrix,1
855,trend,1
856,eight,1
859,eros,1
847,brought,1
860,salin,1
861,forest,1
862,destruct,1
863,desertif,1
864,air,1
865,countermeasur,1
866,rais,1
349,south,1
350,east,1
826,len,1
361,discov,1
828,moder,1
829,delin,1
364,finer,1
831,boundari,1
832,add,1
833,suboptim,1
363,region,1
359,respond,1
351,queensland,1
358,like,1
838,boost,1
353,built,1
841,econom,1
842,gap,1
843,eastern,1
352,australia,1
1285,subsequ,1
