,PT,AU,BA,BE,GP,AF,BF,CA,TI,SO,SE,BS,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,EA,EY,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA,Unnamed: 0,A comparative experiment was conducted,A novel model/method was developed,Did the authors implement a Bayesian technique?,Did the authors use a Frequentist technique?,Did the model account for correlation among experts?,"Experts depended on data that could be updated, revised, or rapidly change?",Experts were given data related to the forecasting target?,How many expert forecasters were included?,How many total forecasts were made?,Identify the primary predictive target?,List terms specific to aggregating crowdsourced data and quoted definition,Please list covariates included in any model,The model combined point estimates,The model combined probabilistic distributions,The model was nonparametric,The model was parametric,The primary target was categorical,The primary target was continuous,The primary target was from a time series,What evaluation metrics were used?,What models were used in forecasting?,manuscript,notes
10,J,"Baron, J; Mellers, BA; Tetlock, PE; Stone, E; Ungar, LH",,,,"Baron, Jonathan; Mellers, Barbara A.; Tetlock, Philip E.; Stone, Eric; Ungar, Lyle H.",,,Two Reasons to Make Aggregated Probability Forecasts More Extreme,DECISION ANALYSIS,,,English,Article,,,,,,forecasting; aggregation; wisdom of crowds; confidence,MODEL,"When aggregating the probability estimates of many individuals to form a consensus probability estimate of an uncertain future event, it is common to combine them using a simple weighted average. Such aggregated probabilities correspond more closely to the real world if they are transformed by pushing them closer to 0 or 1. We explain the need for such transformations in terms of two distorting factors: The first factor is the compression of the probability scale at the two ends, so that random error tends to push the average probability toward 0.5. This effect does not occur for the median forecast, or, arguably, for the mean of the log odds of individual forecasts. The second factor-which affects mean, median, and mean of log odds-is the result of forecasters taking into account their individual ignorance of the total body of information available. Individual confidence in the direction of a probability judgment (high/low) thus fails to take into account the wisdom of crowds that results from combining different evidence available to different judges. We show that the same transformation function can approximately eliminate both distorting effects with different parameters for the mean and the median. And we show how, in principle, use of the median can help distinguish the two effects.","[Baron, Jonathan; Mellers, Barbara A.; Tetlock, Philip E.; Stone, Eric] Univ Penn, Dept Psychol, Philadelphia, PA 19104 USA; [Ungar, Lyle H.] Univ Penn, Dept Comp & Informat Sci, Philadelphia, PA 19104 USA","Baron, J (reprint author), Univ Penn, Dept Psychol, 3815 Walnut St, Philadelphia, PA 19104 USA.",baron@psych.upenn.edu; mellers@psych.upenn.edu; tetlock@wharton.upenn.edu; estone@sas.upenn.edu; ungar@cis.upenn.edu,,,,,,16,17,18,0,13,INFORMS,CATONSVILLE,"5521 RESEARCH PARK DR, SUITE 200, CATONSVILLE, MD 21228 USA",1545-8490,1545-8504,,DECIS ANAL,Decis. Anal.,JUN,2014,11.0,2,,,,,133,145,,10.1287/deca.2014.0293,,,,13,Management,Business & Economics,AL2AU,WOS:000338929000004,,,,,3/15/19,9,N,Y,N,N,N,-99,N,1973,87,binary variable,"extremizing transformation,end of scale effect,irreducible uncertainity",expert judgements,Y,N,N,Y,Y,N,N,briar score,median and mean aggreagtion with a transofmration,b'10.1287:deca.2014.0293.pdf',
11,J,"Brito, M; Griffiths, G; Ferguson, J; Hopkin, D; Mills, R; Pederson, R; MacNeil, E",,,,"Brito, Mario; Griffiths, Gwyn; Ferguson, James; Hopkin, David; Mills, Richard; Pederson, Richard; MacNeil, Erin",,,A Behavioral Probabilistic Risk Assessment Framework for Managing Autonomous Underwater Vehicle Deployments,JOURNAL OF ATMOSPHERIC AND OCEANIC TECHNOLOGY,,,English,Article,,,,,,,EXPERT JUDGMENT; AUV; RELIABILITY; ELICITATION; HEURISTICS; BENEATH; BIASES; ISLAND; OCEAN,"The deployment of a deep-diving long-range autonomous underwater vehicle (AUV) is a complex operation that requires the use of a risk-informed decision-making process. Operational risk assessment is heavily dependent on expert subjective judgment. Expert judgments can be elicited either mathematically or behaviorally. During mathematical elicitation experts are kept separate and provide their assessment individually. These are then mathematically combined to create a judgment that represents the group view. The limitation with this approach is that experts do not have the opportunity to discuss different views and thus remove bias from their assessment. In this paper, a Bayesian behavioral approach to estimate and manage AUV operational risk is proposed. At an initial workshop, behavioral aggregation, that is, reaching agreement on the distributions of risks for faults or incidents, is followed by an agreed upon initial estimate of the likelihood of success of the proposed risk mitigation methods. Postexpedition, a second workshop assesses the new data and compares observed to predicted risk, thus updating the prior estimate using Bayes' rule. This feedback further educates the experts and assesses the actual effectiveness of the mitigation measures. Applying this approach to an AUV campaign in ice-covered waters in the Arctic showed that the maximum error between the predicted and the actual risk was 9% and that the experts' assessments of the effectiveness of risk mitigation led to a maximum of 24% in risk reduction.","[Brito, Mario] Univ Southampton, Natl Oceanog Ctr, Southampton SO14 3ZH, Hants, England; [Ferguson, James; Mills, Richard] Int Submarine Engn, Port Coquitlam, BC, Canada; [Hopkin, David; Pederson, Richard; MacNeil, Erin] Def R&D Canada Atlantic, Dartmouth, NS, Canada","Brito, M (reprint author), Univ Southampton, Natl Oceanog Ctr, European Way, Southampton SO14 3ZH, Hants, England.",mario.brito@noc.ac.uk,,"Brito, Mario/0000-0002-1779-4535",Natural Environment Research Council [noc010003],,,34,15,15,0,13,AMER METEOROLOGICAL SOC,BOSTON,"45 BEACON ST, BOSTON, MA 02108-3693 USA",0739-0572,,,J ATMOS OCEAN TECH,J. Atmos. Ocean. Technol.,NOV,2012,29.0,11,,,,,1689,1703,,10.1175/JTECH-D-12-00005.1,,,,15,"Engineering, Ocean; Meteorology & Atmospheric Sciences",Engineering; Meteorology & Atmospheric Sciences,036WZ,WOS:000311064300009,,Green Published,,,3/15/19,7,N,N,Y,N,Y,N,Y,,,AUV loss,behavioral aggregation,scenarios of AUV loss,Y,Y,N,Y,Y,N,N,visual inspection,bayesian beta-binomial model,b'10.1175:JTECH-D-12-00005.1.pdf',
12,J,"Cooke, RM; Wittmann, ME; Lodge, DM; Rothlisberger, JD; Rutherford, ES; Zhang, HY; Mason, DM",,,,"Cooke, Roger M.; Wittmann, Marion E.; Lodge, David M.; Rothlisberger, John D.; Rutherford, Edward S.; Zhang, Hongyan; Mason, Doran M.",,,Out-of-Sample Validation for Structured Expert Judgment of Asian Carp Establishment in Lake Erie,INTEGRATED ENVIRONMENTAL ASSESSMENT AND MANAGEMENT,,,English,Article,,,,,,,OIL FIRES; ELICITATION; MORTALITY; ASSESSMENTS; FISHERIES; IMPACTS; MODEL; US,"Structured expert judgment (SEJ) is used to quantify the uncertainty of nonindigenous fish (bighead carp [Hypophthalmichthys nobilis] and silver carp [H. molitrix]) establishment in Lake Erie. The classical model for structured expert judgment model is applied. Forming a weighted combination (called a decision maker) of experts' distributions, with weights derived from performance on a set of calibration variables from the experts' field, exhibits greater statistical accuracy and greater informativeness than simple averaging with equal weights. New methods of cross validation are applied and suggest that performance characteristics relative to equal weighting could be predicted with a small number (1-2) of calibration variables. The performance-based decision maker is somewhat degraded on out-of-sample prediction, but remained superior to the equal weight decision maker in terms of statistical accuracy and informativeness. Integr Environ Assess Manag 2014;10:522-528. (c) 2014 The Authors. Integrated Environmental Assessment and Management published by Wiley Periodicals, Inc. on behalf of SETAC.","[Cooke, Roger M.] Resources Future Inc, Washington, DC 20036 USA; [Cooke, Roger M.] Univ Strathclyde, Glasgow, Lanark, Scotland; [Cooke, Roger M.] Delft Univ Technol, Delft, Netherlands; [Wittmann, Marion E.; Lodge, David M.] Univ Notre Dame, Dept Biol Sci, Indiana, PA USA; [Rothlisberger, John D.] US Dept Agr Forest Serv, Milwaukee, WI USA; [Rutherford, Edward S.; Zhang, Hongyan] Univ Michigan, Cooperat Inst Limnol & Ecosyst Res, Ann Arbor, MI 48109 USA; [Mason, Doran M.] NOAA, Great Lakes Environm Res Lab, Ann Arbor, MI 48105 USA","Cooke, RM (reprint author), Resources Future Inc, 1616 P St NW, Washington, DC 20036 USA.",cooke@rff.org,,,,,,33,14,14,1,31,WILEY-BLACKWELL,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",1551-3777,1551-3793,,INTEGR ENVIRON ASSES,Integr. Environ. Assess. Manag.,OCT,2014,10.0,4,,,,,522,528,,10.1002/ieam.1559,,,,7,Environmental Sciences; Toxicology,Environmental Sciences & Ecology; Toxicology,AQ2KZ,WOS:000342616200008,25044130.0,"Green Published, Other Gold",,,3/15/19,1,N,Y,N,Y,N,N,Y,11,15,15 different caliber variables(Biomass-Production-Consumption-Diet composition),"the theory fo strcinly proper scoring rules is invoked to combine these measures as a ""product with cutoff"", whereby an exerpt is unweighted if statistical accuracy falls beneath a threshold value.; performance weighted combination",expert percentiles and weights,Y,N,N,N,Y,Y,Y,Statistical accuracy and shannon entropy,"weighted combination of experts 10,50,amd90 percentile",b'10.1002:ieam.1559.pdf',TU delft expert judgement database. The majority of their combinations included only a few expert combinations. Poorly written. 
13,J,"Borsuk, ME",,,,"Borsuk, ME",,,Predictive assessment of fish health and fish kills in the Neuse River Estuary using elicited expert judgment,HUMAN AND ECOLOGICAL RISK ASSESSMENT,,,English,Article,,,,,,expert elicitation; ecological risk assessment; coastal eutrophication; logistic regression; probability network,PFIESTERIA-PISCICIDA; REGRESSION-MODELS; DECISION-MAKING; WATER-QUALITY; LAKE ACIDIFICATION; ATLANTIC MENHADEN; CHESAPEAKE BAY; ORDINAL DATA; HYPOXIA; OXYGEN,"Declining fish health and the occurrence of large fish kills are some of the more publicly meaningful indicators of water quality in the impaired Neuse River Estuary, North Carolina. It is generally believed that such problems are caused by the widespread depletion of dissolved oxygen-an indirect result of anthropogenic nutrient pollution. However, the development of scientific simulation models to predict how improvements in oxygen conditions will improve the health of fish and reduce the frequency of fish kills has proven elusive. As a pragmatic solution to this problem, the expert opinion of estuarine fisheries scientists in possession of relevant data and experience was elicited. The relations between joint and conditional probabilities were exploited to translate quantities that are normally hard to assess into quantities that can be drawn more directly from the experiential knowledge of the experts. A combined model of expert opinion was constructed as an influence diagram, and Monte Carlo simulation was used to generate predictions of fish health and fish kills in the Neuse River Estuary under current and improved oxygen conditions. Full model results are expressed as probability distributions, capturing the effects of natural variability and knowledge uncertainty-both contributors to total ecological risk.","Duke Univ, Nicholas Sch Environm & Earth Sci, Div Environm Sci & Policy, Durham, NC USA","Borsuk, ME (reprint author), Swiss Fed Inst Environm Sci & Technol EAWAG, Dept Syst Anal Integrated Assessment & Modelling, POB 611, CH-8600 Dubendorf, Switzerland.",mark.borsuk@eawag.ch,,"Borsuk, Mark/0000-0002-5121-1110",,,,57,14,14,0,16,TAYLOR & FRANCIS INC,PHILADELPHIA,"325 CHESTNUT ST, SUITE 800, PHILADELPHIA, PA 19106 USA",1080-7039,,,HUM ECOL RISK ASSESS,Hum. Ecol. Risk Assess.,APR,2004,10.0,2,,,,,415,434,,10.1080/10807030490438454,,,,20,Biodiversity Conservation; Environmental Sciences,Biodiversity & Conservation; Environmental Sciences & Ecology,817RZ,WOS:000221195900012,,,,,3/15/19,17,N,N,N,Y,N,N,N,2,2,fish kills,,number of hypoxic days,Y,N,N,Y,N,Y,N,none,"nominal group technique,graphical model",b'10.1080:10807030490438454.pdf',
14,J,"Graefe, A; Armstrong, JS; Jones, RJ; Cuzan, AG",,,,"Graefe, Andreas; Armstrong, J. Scott; Jones, Randall J., Jr.; Cuzan, Alfred G.",,,Accuracy of Combined Forecasts for the 2012 Presidential Election: The PollyVote,PS-POLITICAL SCIENCE & POLITICS,,,English,Article,,,,,,,PREDICTING ELECTIONS; CANDIDATES; POLLS; ISSUE,"We review the performance of the PollyVote, which combined forecasts from polls, prediction markets, experts' judgment, political economy models, and index models to predict the two-party popular vote in the 2012 US presidential election. Throughout the election year the PollyVote provided highly accurate forecasts, outperforming each of its component methods, as well as the forecasts from FiveThirtyEight.com. Gains in accuracy were particularly large early in the campaign, when uncertainty about the election outcome is typically high. The results confirm prior research showing that combining is one of the most effective approaches to generating accurate forecasts.","[Graefe, Andreas] Ludwig Maximilians Univ Munchen, Dept Commun Sci & Media Res, Munich, Germany; [Armstrong, J. Scott] Univ Penn, Wharton Sch, Philadelphia, PA 19104 USA; [Armstrong, J. Scott] Univ S Australia, Ehrenberg Bass Inst, Adelaide, SA 5001, Australia; [Jones, Randall J., Jr.] Univ Cent Oklahoma, Dept Polit Sci, Edmond, OK USA; [Cuzan, Alfred G.] Univ W Florida, Dept Govt, Pensacola, FL 32514 USA","Graefe, A (reprint author), Ludwig Maximilians Univ Munchen, Dept Commun Sci & Media Res, Munich, Germany.",a.graefe@lmu.de; armstrong@wharton.upenn.edu; ranjones@uco.edu; acuzan@uwf.edu,,"Armstrong, J. Scott/0000-0003-0108-0471",,,,13,13,13,1,13,CAMBRIDGE UNIV PRESS,NEW YORK,"32 AVENUE OF THE AMERICAS, NEW YORK, NY 10013-2473 USA",1049-0965,1537-5935,,PS-POLIT SCI POLIT,PS-Polit. Sci. Polit.,APR,2014,47.0,2,,,,,427,431,,10.1017/S1049096514000341,,,,5,Political Science,Government & Law,AJ5ME,WOS:000337726500034,,,,,3/15/19,13,Y,N,N,N,N,Y,N,14,11,voters share of  presidential election,,"expert judgement,index models, econometric models, predictions market",Y,N,Y,N,N,Y,Y,MAE,index and econometric models,b'10.1017:S1049096514000341.pdf',
15,J,"Hora, SC; Fransen, BR; Hawkins, N; Susel, I",,,,"Hora, Stephen C.; Fransen, Benjamin R.; Hawkins, Natasha; Susel, Irving",,,Median Aggregation of Distribution Functions,DECISION ANALYSIS,,,English,Article,,,,,,expert judgment; calibration; scoring rules; terrorists; expert combination,COMBINING PROBABILITY-DISTRIBUTIONS; CALIBRATION; FORECASTS; JUDGMENTS,"When multiple redundant probabilistic judgments are obtained from subject matter experts, it is common practice to aggregate their differing views into a single probability or distribution. Although many methods have been proposed for mathematical aggregation, no single procedure has gained universal acceptance. The most widely used procedure is simple arithmetic averaging, which has both desirable and undesirable properties. Here we propose an alternative for aggregating distribution functions that is based on the median cumulative probabilities at fixed values of the variable. It is shown that aggregating cumulative probabilities by medians is equivalent, under certain conditions, to aggregating quantiles. Moreover, the median aggregate has better calibration than mean aggregation of probabilities when the experts are independent and well calibrated and produces sharper aggregate distributions for well-calibrated and independent experts when they report a common location-scale distribution. We also compare median aggregation to mean aggregation of quantiles.","[Hora, Stephen C.] Univ So Calif, Ctr Risk & Econ Anal Terrorism Events, Los Angeles, CA 90089 USA; [Fransen, Benjamin R.] Dept Homeland Secur, Natl Protect & Programs Directorate, Off Infrastruct & Protect, Washington, DC 20528 USA; [Hawkins, Natasha; Susel, Irving] Dept Homeland Secur, Off Policy, Off Strategy Planning Anal & Risk, Washington, DC 20528 USA","Hora, SC (reprint author), Univ So Calif, Ctr Risk & Econ Anal Terrorism Events, Los Angeles, CA 90089 USA.",hora@usc.edu; benjamin.fransen@dhs.gov; natasha.l.hawkins@hq.dhs.gov; irving.susel@dhs.gov,,,,,,27,10,10,1,5,INFORMS,CATONSVILLE,"5521 RESEARCH PARK DR, SUITE 200, CATONSVILLE, MD 21228 USA",1545-8490,1545-8504,,DECIS ANAL,Decis. Anal.,DEC,2013,10.0,4,,,,,279,291,,10.1287/deca.2013.0282,,,,13,Management,Business & Economics,261PK,WOS:000327676900002,,,,,3/15/19,8,Y,Y,N,N,N,N,N,"1,2,10",10000,random variable,weak setwise property,"cov$1$,cov$2$",N,Y,Y,N,N,Y,N,briar score,quantiles,b'10.1287:deca.2013.0282.pdf',simulation study
16,J,"Shin, J; Coh, BY; Lee, C",,,,"Shin, Juneseuk; Coh, Byoung-Youl; Lee, Changyong",,,Robust future-oriented technology portfolios: Black-Litterman approach,R & D MANAGEMENT,,,English,Article,,,,,,,REAL OPTIONS VALUATION; R-AND-D; DEVELOPMENT PROJECTS; PRODUCT DEVELOPMENT; PATENT ANALYSIS; MANAGEMENT; SELECTION; DECISIONS; FRONTIER; MODEL,"We propose a new way of constructing more robust technology portfolios to overcome the weaknesses of previous technology portfolios based either on the judgments of experts or on quantitative data such as patents. Instead of using historical data, the method of nonlinear forecasting enables us to forecast the future number of patent citations and accordingly, to use the forecast as a quantitative proxy for future returns and risks of technologies. Using the Black-Litterman portfolio model, we improve the accuracy of inputs by combining the future views of experts with the future returns and risks of technologies. As a consequence of this, the portfolio becomes strongly future-oriented. With our approach, corporate managers use both experts and data more effectively to build robust technology portfolios. In particular, our method is of great help for companies launching new businesses because the method avoids heavy dependency on internal experts with little knowledge about emerging technologies. A company entering the molecular amplification instrument market is exemplified herein.","[Shin, Juneseuk] Sungkyunkwan Univ, Dept Syst Management Engn, Suwon, Kyounggi Do, South Korea; [Coh, Byoung-Youl] Korea Inst Sci & Technol Informat, Technol Informat Anal Ctr, Seoul, South Korea; [Lee, Changyong] Ulsan Natl Inst Sci & Technol, Sch Technol Management, Ulsan, South Korea","Shin, J (reprint author), Sungkyunkwan Univ, Dept Syst Management Engn, 300 Chunchun Dong, Suwon, Kyounggi Do, South Korea.",jsshin@skku.edu; cohby@kisti.re.kr; akuta7@snu.ac.kr,"Lee, Changyong/W-6486-2018","Lee, Changyong/0000-0002-1636-9481; Shin, Juneseuk/0000-0003-3096-1147",,,,47,10,10,3,41,WILEY-BLACKWELL,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0033-6807,1467-9310,,R&D MANAGE,R D Manage.,NOV,2013,43.0,5,,,,,409,419,,10.1111/radm.12022,,,,11,Business; Management,Business & Economics,238DW,WOS:000325922900001,,,,,3/15/19,6,N,N,N,Y,N,Y,N,5,11,number of patent citations,mixed estimation by theil,rate of returns,Y,N,N,Y,N,Y,Y,none,"bass model, curve fitting",b'10.1111:radm.12022.pdf',
17,J,"Cai, MY; Lin, YZ; Han, B; Liu, CJ; Zhang, WJ",,,,"Cai, Mengya; Lin, Yingzi; Han, Bin; Liu, Changjun; Zhang, Wenjun",,,On a Simple and Efficient Approach to Probability Distribution Function Aggregation,IEEE TRANSACTIONS ON SYSTEMS MAN CYBERNETICS-SYSTEMS,,,English,Article,,,,,,Aggregation; group judgment; linear feedback iteration; probability distribution,GROUP DECISION-MAKING; SUBJECTIVE-PROBABILITY; EXPERT JUDGMENT; CONSENSUS; COMBINATION; INFORMATION; OPERATORS; FORECASTS; METHODOLOGY; ELICITATION,"In group decision making, it is inevitable that the individual decision maker's subjectivity is involved, which causes difficulty in reaching a group decision. One of the difficulties is to aggregate a small set of expert opinions with the individual subjectivity or uncertainty modeled with probability theory. This difficult problem is called probability distribution function aggregation (DFA). This paper presents a simple and efficient approach to the DFA problem. The main idea of the proposed approach is that the DFA problem is modeled as a nonlinear function of a set of probability distribution functions, and then a linear feedback iteration scheme is proposed to solve the nonlinear function, leading to a group judgment or decision. Illustration of this new approach is given by a well-known DFA example which was solved with the Delphi method. The DFA problem is a part of the group decision problem. Therefore, the proposed algorithm is also useful to the decision making problem in general. Another contribution of the this paper is the proposed notation of systematically representing the imprecise group decision problem with the classification of imprecise information into three classes, namely incomplete information, vague information, and uncertain information. The particular DFA problem dealt with in this paper is then characterized with this general notation.","[Cai, Mengya; Liu, Changjun; Zhang, Wenjun] East China Univ Sci & Technol, Complex & Intelligent Syst Res Ctr, Shanghai 200237, Peoples R China; [Lin, Yingzi] Northeastern Univ, Dept Mech & Ind Engn, IHMS Lab, Boston, MA 02115 USA; [Han, Bin] Univ Saskatchewan, Dept Biomed Engn, Saskatoon, SK S7N 5A9, Canada; [Zhang, Wenjun] Univ Saskatchewan, Dept Mech Engn, Saskatoon, SK S7N 5A9, Canada","Zhang, WJ (reprint author), East China Univ Sci & Technol, Complex & Intelligent Syst Res Ctr, Shanghai 200237, Peoples R China.",caimengya88@163.com; yilin@coe.neu.edu; hanbinking1987@gmail.com; cjliu@ecust.edu.cn; chris.zhang@usask.ca,,,China Scholarship Council; ECUST Central University Grant,"This work was supported in part by the China Scholarship Council, and in part by the ECUST Central University Grant.",,40,9,9,3,10,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,PISCATAWAY,"445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA",2168-2216,,,IEEE T SYST MAN CY-S,IEEE Trans. Syst. Man Cybern. -Syst.,SEP,2017,47.0,9,,,,,2444,2453,,10.1109/TSMC.2016.2531647,,,,10,"Automation & Control Systems; Computer Science, Cybernetics",Automation & Control Systems; Computer Science,FH4CN,WOS:000411097600002,,,,,3/15/19,18,Y,Y,N,N,N,N,Y,6,1,number of atomic bombs,group decision making;degree of agreement;distribution function aggregation,probability of atomic bomb stockpiles,N,Y,Y,N,N,Y,N,none,"qudratic programming,simulated annealing,group consensus",b'10.1109:TSMC.2016.2531647.pdf',
18,J,"Brito, M; Griffiths, G",,,,"Brito, Mario; Griffiths, Gwyn",,,A Bayesian approach for predicting risk of autonomous underwater vehicle loss during their missions,RELIABILITY ENGINEERING & SYSTEM SAFETY,,,English,Article,,,,,,Bayesian networks; Survival statistics; Expert judgment elicitation; Autonomous vehicles,SEA-ICE; PROBABILITY; JUDGMENT; NETWORK,"Autonomous Underwater Vehicles (AUVs) are effective platforms for science research and monitoring, and for military and commercial data-gathering purposes. However, there is an inevitable risk of loss during any mission. Quantifying the risk of loss is complex, due to the combination of vehicle reliability and environmental factors, and cannot be determined through analytical means alone. An alternative approach - formal expert judgment - is a time-consuming process; consequently a method is needed to broaden the applicability of judgments beyond the narrow confines of an elicitation for a defined environment. We propose and explore a solution founded on a Bayesian Belief Network (BBN), where the results of the expert judgment elicitation are taken as the initial prior probability of loss due to failure. The network topology captures the causal effects of the environment separately on the vehicle and on the support platform, and combines these to produce an updated probability of loss due to failure. An extended version of the Kaplan-Meier estimator is then used to update the mission risk profile with travelled distance. Sensitivity analysis of the BBN is presented and a case study of Autosub3 AUV deployment in the Amundsen Sea is discussed in detail. (C) 2015 Elsevier Ltd. All rights reserved.","[Brito, Mario] Univ Southampton, Southampton Business Sch, Southampton SO17 1BJ, Hants, England; [Griffiths, Gwyn] Univ Southampton, Natl Oceanog Ctr, Southampton SO14 3ZH, Hants, England","Brito, M (reprint author), Univ Southampton, Southampton Business Sch, Univ Rd, Southampton SO17 1BJ, Hants, England.",m.p.brito@soton.ac.uk,,"Brito, Mario/0000-0002-1779-4535","Natural Environment Research Council [noc010003, NE/I015647/1]",,,30,9,9,1,35,ELSEVIER SCI LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND",0951-8320,1879-0836,,RELIAB ENG SYST SAFE,Reliab. Eng. Syst. Saf.,FEB,2016,146.0,,,,,,55,67,,10.1016/j.ress.2015.10.004,,,,13,"Engineering, Industrial; Operations Research & Management Science",Engineering; Operations Research & Management Science,CY2IW,WOS:000366233200008,,,,,3/15/19,5,N,Y,Y,N,N,N,Y,10,64,AUV failure,bayesian belief network,related to ocean and AUV,Y,N,Y,-99,Y,N,N,none,bayesian belief network,b'10.1016:j.ress.2015.10.004.pdf',
19,J,"Seifert, M; Hadida, AL",,,,"Seifert, Matthias; Hadida, Allegre L.",,,On the relative importance of linear model and human judge(s) in combined forecasting,ORGANIZATIONAL BEHAVIOR AND HUMAN DECISION PROCESSES,,,English,Article,,,,,,Judgmental forecasting; Combined forecasts; Bootstrapping models; Music industry,EVIDENCE-BASED MANAGEMENT; TASK COMPLEXITY; JUDGMENT; COMBINATION; DECISION; UNCERTAINTY; DEFINITION; ACCURACY; OPINIONS; SUPPORT,"When and to what extent should forecasts rely on linear model or human judgment? The judgmental forecasting literature suggests that aggregating model and judge using a simple 50:50 split tends to outperform the two inputs alone. However, current research disregards the important role that the structure of the task, judges' level of expertise, and the number of individuals providing a forecasting judgment may play. Ninety-two music industry professionals and 88 postgraduate students were recruited in a field experiment to predict chart entry positions of pop music singles in the UK and Germany. The results of a lens model analysis show how task structure and domain-specific expertise moderate the relative importance of model and judge. The study also delineates an upper boundary to which aggregating multiple judgments in model-expert combinations adds predictive accuracy. It is suggested that ignoring the characteristics of task and/or judge may lead to suboptimal forecasting performance. (C)12 Elsevier Inc. All rights reserved.","[Seifert, Matthias] IE Business Sch, Operat & Technol Area, Madrid 28006, Spain; [Hadida, Allegre L.] Univ Cambridge, Judge Business Sch, Cambridge CB2 1AG, England; [Hadida, Allegre L.] Univ Cambridge, Magdalene Coll, Cambridge CB2 1AG, England","Seifert, M (reprint author), IE Business Sch, Operat & Technol Area, 12,5th Floor, Madrid 28006, Spain.",matthias.seifert@ie.edu; a.hadida@jbs.cam.ac.uk,,,,,,73,9,9,3,32,ACADEMIC PRESS INC ELSEVIER SCIENCE,SAN DIEGO,"525 B ST, STE 1900, SAN DIEGO, CA 92101-4495 USA",0749-5978,,,ORGAN BEHAV HUM DEC,Organ. Behav. Hum. Decis. Process.,JAN,2013,120.0,1,,,,,24,36,,10.1016/j.obhdp.2012.08.003,,,,13,"Psychology, Applied; Management; Psychology, Social",Psychology; Business & Economics,094ID,WOS:000315255300003,,,,,3/15/19,4,Y,N,N,Y,N,Y,N,180,210,entry position of pop singles in top 100,"ill structured data,Brunswik lens model",hard data and human judgemen,Y,N,N,Y,N,Y,N,R and variance,linear regression including human judgement as covariate,b'10.1016:j.obhdp.2012.08.003.pdf',
20,J,"Li, W; Liu, YJ; Yang, ZF",,,,"Li, Wei; Liu, Yan-ju; Yang, Zhifeng",,,Preliminary Strategic Environmental Assessment of the Great Western Development Strategy: Safeguarding Ecological Security for a New Western China,ENVIRONMENTAL MANAGEMENT,,,English,Article,,,,,,Strategic environmental assessment; Great Western Development Strategy; Western China; Key developmental domains; Ecological security; Safeguarding principle,OPERATIONAL PROCEDURE; SEA; FRAMEWORK; PLANS; METHODOLOGY; COUNTRIES; SYSTEMS; CANADA; UK,"The Great Western Development Strategy (GWDS) is a long term national campaign aimed at boosting development of the western area of China and narrowing the economic gap between the western and the eastern parts of China. The Strategic Environmental Assessment (SEA) procedure was employed to assess the environmental challenges brought about by the western development plans. These plans include five key developmental domains (KDDs): water resource exploitation and use, land utilization, energy generation, tourism development, and ecological restoration and conservation. A combination of methods involving matrix assessment, incorporation of expert judgment and trend analysis was employed to analyze and predict the environmental impacts upon eight selected environmental indicators: water resource availability, soil erosion, soil salinization, forest destruction, land desertification, biological diversity, water quality and air quality. Based on the overall results of the assessment, countermeasures for environmental challenges that emerged were raised as key recommendations to ensure ecological security during the implementation of the GWDS. This paper is intended to introduce a consensus-based process for evaluating the complex, long term pressures on the ecological security of large areas, such as western China, that focuses on the use of combined methods applied at the strategic level.","[Li, Wei; Liu, Yan-ju; Yang, Zhifeng] Beijing Normal Univ, Sch Environm, State Key Lab Water Environm Simulat, Beijing 100875, Peoples R China","Li, W (reprint author), Beijing Normal Univ, Sch Environm, State Key Lab Water Environm Simulat, 19 Xin Jie Kou Wai St, Beijing 100875, Peoples R China.",weili@bnu.edu.cn; lyjbnu@yahoo.cn; zfyang@bnu.edu.cn,,,,,,31,9,10,1,63,SPRINGER,NEW YORK,"233 SPRING ST, NEW YORK, NY 10013 USA",0364-152X,,,ENVIRON MANAGE,Environ. Manage.,FEB,2012,49.0,2,,,,,483,501,,10.1007/s00267-011-9794-1,,,,19,Environmental Sciences,Environmental Sciences & Ecology,905UG,WOS:000301300200017,22190169.0,"Other Gold, Green Published",,,3/15/19,2,N,Y,N,N,N,Y,Y,,1,Ecological quality Index,," water resource availability (WRA), soil erosion (SE), soil salinization (SS), land desertification (LD), forest destruction (FD), water quality (WQ), air quality (AQ) and biological diversity (BD)",N,N,N,N,N,Y,N,None,Sum,b'10.1007:s00267-011-9794-1.pdf',Unrelated really. Used the Delphi Technique to estimate specific paramters
